[1162, 749]
[folio, [307.0, 76.0, 128.0, 18.0], shoonya_3sSGT1AAGZD2UM, 5699970]
[paragraph, [77.0, 123.0, 597.0, 18.0], shoonya_4sRV82H87JZHVC, 5699970]
[paragraph, [77.0, 141.0, 597.0, 18.0], shoonya_4sRV82H87JZHVC, 5699970]
[paragraph, [77.0, 159.0, 597.0, 18.0], shoonya_4sRV82H87JZHVC, 5699970]
[paragraph, [78.0, 192.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 210.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 228.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 246.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 264.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 282.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 300.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 318.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 336.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 354.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 372.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 390.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 408.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 426.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 444.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 462.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 480.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 498.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 516.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 534.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 552.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 570.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 588.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 606.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 624.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [78.0, 642.0, 597.0, 18.0], shoonya_1s0F6THK9RPP93, 5699970]
[paragraph, [79.0, 675.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 693.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 711.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 729.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 747.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 765.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 783.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 801.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 819.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 837.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 855.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 873.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 891.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 909.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 927.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 945.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 963.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 981.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 999.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 1017.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 1035.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 1053.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
[paragraph, [79.0, 1071.0, 597.0, 18.0], shoonya_0sHEUJGQV2JQZC, 5699970]
