[2339, 1653]
[paragraph, [386.0, 196.0, 1080.0, 36.0], shoonya_3sNIPI7A5QNT5R, 5733503]
[paragraph, [386.0, 232.0, 1080.0, 36.0], shoonya_3sNIPI7A5QNT5R, 5733503]
[paragraph, [386.0, 268.0, 1080.0, 36.0], shoonya_3sNIPI7A5QNT5R, 5733503]
[paragraph, [386.0, 304.0, 1080.0, 36.0], shoonya_3sNIPI7A5QNT5R, 5733503]
[paragraph, [386.0, 340.0, 1080.0, 36.0], shoonya_3sNIPI7A5QNT5R, 5733503]
[paragraph, [386.0, 376.0, 1080.0, 36.0], shoonya_3sNIPI7A5QNT5R, 5733503]
[paragraph, [386.0, 412.0, 1080.0, 36.0], shoonya_3sNIPI7A5QNT5R, 5733503]
[paragraph, [386.0, 448.0, 1080.0, 36.0], shoonya_3sNIPI7A5QNT5R, 5733503]
[paragraph, [386.0, 484.0, 1080.0, 36.0], shoonya_3sNIPI7A5QNT5R, 5733503]
[paragraph, [386.0, 520.0, 1080.0, 36.0], shoonya_3sNIPI7A5QNT5R, 5733503]
[paragraph, [386.0, 556.0, 1080.0, 36.0], shoonya_3sNIPI7A5QNT5R, 5733503]
[section-title, [490.0, 661.0, 504.0, 52.5], shoonya_5sEEPPNVX31KYP, 5733503]
[paragraph, [387.0, 722.0, 1080.0, 36.0], shoonya_1sP8O50K2ZVA2U, 5733503]
[paragraph, [387.0, 758.0, 1080.0, 36.0], shoonya_1sP8O50K2ZVA2U, 5733503]
[paragraph, [387.0, 794.0, 1080.0, 36.0], shoonya_1sP8O50K2ZVA2U, 5733503]
[paragraph, [387.0, 830.0, 1080.0, 36.0], shoonya_1sP8O50K2ZVA2U, 5733503]
[paragraph, [387.0, 866.0, 1080.0, 36.0], shoonya_1sP8O50K2ZVA2U, 5733503]
[paragraph, [387.0, 902.0, 1080.0, 36.0], shoonya_1sP8O50K2ZVA2U, 5733503]
[paragraph, [387.0, 938.0, 1080.0, 36.0], shoonya_1sP8O50K2ZVA2U, 5733503]
[paragraph, [387.0, 974.0, 1080.0, 36.0], shoonya_1sP8O50K2ZVA2U, 5733503]
[paragraph, [387.0, 1010.0, 1080.0, 36.0], shoonya_1sP8O50K2ZVA2U, 5733503]
[paragraph, [490.0, 1075.0, 146.0, 36.0], shoonya_4sAOKOAYEDMQ1S, 5733503]
[paragraph, [389.0, 1134.0, 1078.0, 36.0], shoonya_2sXV5JJW27RC47, 5733503]
[paragraph, [389.0, 1170.0, 1078.0, 36.0], shoonya_2sXV5JJW27RC47, 5733503]
[paragraph, [389.0, 1206.0, 1078.0, 36.0], shoonya_2sXV5JJW27RC47, 5733503]
[paragraph, [389.0, 1242.0, 1078.0, 36.0], shoonya_2sXV5JJW27RC47, 5733503]
[paragraph, [389.0, 1278.0, 1078.0, 36.0], shoonya_2sXV5JJW27RC47, 5733503]
[paragraph, [389.0, 1314.0, 1078.0, 36.0], shoonya_2sXV5JJW27RC47, 5733503]
[paragraph, [389.0, 1350.0, 1078.0, 36.0], shoonya_2sXV5JJW27RC47, 5733503]
[paragraph, [389.0, 1386.0, 1078.0, 36.0], shoonya_2sXV5JJW27RC47, 5733503]
[paragraph, [389.0, 1422.0, 1078.0, 36.0], shoonya_2sXV5JJW27RC47, 5733503]
[paragraph, [389.0, 1480.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1516.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1552.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1588.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1624.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1660.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1696.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1732.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1768.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1804.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1840.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1876.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1912.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1948.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 1984.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 2020.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[paragraph, [389.0, 2056.0, 1073.0, 36.0], shoonya_0s96LCYLTGFFX7, 5733503]
[folio, [1106.0, 2180.0, 280.0, 36.0], dlYYoiJs32, 5733503]
