[1492, 1000]
[folio, [380.0, 152.0, 273.0, 18.0], shoonya_3sCU24YJ53FLI3, 5720605]
[paragraph, [150.0, 205.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 223.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 241.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 259.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 277.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 295.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 313.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 331.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 349.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 367.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 385.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 403.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 421.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 439.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 457.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 475.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 493.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 511.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 529.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 547.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 565.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 583.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 601.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 619.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 637.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [150.0, 655.0, 726.0, 18.0], shoonya_0sTKEWBDU3C6T9, 5720605]
[paragraph, [141.0, 689.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 707.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 725.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 743.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 761.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 779.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 797.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 815.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 833.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 851.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 869.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 887.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 905.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 923.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 941.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 959.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 977.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 995.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 1013.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 1031.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 1049.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 1067.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 1085.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 1103.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[paragraph, [141.0, 1121.0, 738.0, 18.0], 0tzCGn5efv, 5720605]
[folio, [773.0, 1312.0, 29.0, 18.0], shoonya_1sG5W73W94LCPK, 5720605]
