[3300, 2550]
[paragraph, [277.0, 271.0, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 323.5, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 376.0, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 428.5, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 481.0, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 533.5, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 586.0, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 638.5, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 691.0, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 743.5, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 796.0, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 848.5, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 901.0, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 953.5, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 1006.0, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 1058.5, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 1111.0, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 1163.5, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 1216.0, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 1268.5, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 1321.0, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [277.0, 1373.5, 2007.0, 52.5], un6OQVOo2K, 5720611]
[paragraph, [292.0, 1466.0, 688.0, 52.5], shoonya_1sBGL0WW5T0XM4, 5720611]
[paragraph, [256.0, 1590.0, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 1642.5, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 1695.0, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 1747.5, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 1800.0, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 1852.5, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 1905.0, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 1957.5, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2010.0, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2062.5, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2115.0, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2167.5, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2220.0, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2272.5, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2325.0, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2377.5, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2430.0, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2482.5, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2535.0, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2587.5, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2640.0, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2692.5, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2745.0, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2797.5, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
[paragraph, [256.0, 2850.0, 2031.0, 52.5], shoonya_2s6R24P8MKH8SY, 5720611]
