[1625, 1211]
[author, [160.0, 92.0, 193.0, 36.0], TjL3IyUVic, 5742393]
[paragraph, [428.0, 92.0, 340.0, 36.0], Kce2bGEDAA, 5742393]
[paragraph, [428.0, 128.0, 340.0, 36.0], Kce2bGEDAA, 5742393]
[paragraph, [428.0, 164.0, 340.0, 36.0], Kce2bGEDAA, 5742393]
[paragraph, [428.0, 200.0, 340.0, 36.0], Kce2bGEDAA, 5742393]
[paragraph, [428.0, 236.0, 340.0, 36.0], Kce2bGEDAA, 5742393]
[paragraph, [428.0, 272.0, 340.0, 36.0], Kce2bGEDAA, 5742393]
[paragraph, [428.0, 308.0, 340.0, 36.0], Kce2bGEDAA, 5742393]
[paragraph, [428.0, 344.0, 340.0, 36.0], Kce2bGEDAA, 5742393]
[section-title, [803.0, 96.0, 339.0, 49.5], XpOA4S_rbU, 5742393]
[section-title, [803.0, 145.5, 339.0, 49.5], XpOA4S_rbU, 5742393]
[paragraph, [68.0, 165.0, 345.0, 36.0], shoonya_1sK1DC2WRXES61, 5742393]
[paragraph, [68.0, 201.0, 345.0, 36.0], shoonya_1sK1DC2WRXES61, 5742393]
[paragraph, [68.0, 237.0, 345.0, 36.0], shoonya_1sK1DC2WRXES61, 5742393]
[paragraph, [68.0, 273.0, 345.0, 36.0], shoonya_1sK1DC2WRXES61, 5742393]
[paragraph, [68.0, 309.0, 345.0, 36.0], shoonya_1sK1DC2WRXES61, 5742393]
[paragraph, [68.0, 345.0, 345.0, 36.0], shoonya_1sK1DC2WRXES61, 5742393]
[paragraph, [68.0, 381.0, 345.0, 36.0], shoonya_1sK1DC2WRXES61, 5742393]
[paragraph, [68.0, 417.0, 345.0, 36.0], shoonya_1sK1DC2WRXES61, 5742393]
[paragraph, [68.0, 453.0, 345.0, 36.0], shoonya_1sK1DC2WRXES61, 5742393]
[paragraph, [68.0, 489.0, 345.0, 36.0], shoonya_1sK1DC2WRXES61, 5742393]
[paragraph, [68.0, 525.0, 345.0, 36.0], shoonya_1sK1DC2WRXES61, 5742393]
[paragraph, [68.0, 561.0, 345.0, 36.0], shoonya_1sK1DC2WRXES61, 5742393]
[paragraph, [68.0, 597.0, 345.0, 36.0], shoonya_1sK1DC2WRXES61, 5742393]
[paragraph, [791.0, 202.0, 343.0, 36.0], LVz4q5DkbT, 5742393]
[paragraph, [791.0, 238.0, 343.0, 36.0], LVz4q5DkbT, 5742393]
[paragraph, [794.0, 302.0, 329.0, 36.0], BPrk26vedq, 5742393]
[paragraph, [794.0, 338.0, 329.0, 36.0], BPrk26vedq, 5742393]
[paragraph, [794.0, 374.0, 329.0, 36.0], BPrk26vedq, 5742393]
[paragraph, [794.0, 410.0, 329.0, 36.0], BPrk26vedq, 5742393]
[paragraph, [432.0, 414.0, 339.0, 36.0], VzYTW2Ss_r, 5742393]
[paragraph, [432.0, 450.0, 339.0, 36.0], VzYTW2Ss_r, 5742393]
[paragraph, [432.0, 486.0, 339.0, 36.0], VzYTW2Ss_r, 5742393]
[paragraph, [432.0, 522.0, 339.0, 36.0], VzYTW2Ss_r, 5742393]
