[1162, 749]
[folio, [327.0, 74.0, 85.0, 18.0], hcmKrGDLJZ, 5700075]
[paragraph, [79.0, 117.0, 600.0, 18.0], shoonya_2sH0MBXVO6HVX3, 5700075]
[paragraph, [79.0, 135.0, 600.0, 18.0], shoonya_2sH0MBXVO6HVX3, 5700075]
[paragraph, [79.0, 153.0, 600.0, 18.0], shoonya_2sH0MBXVO6HVX3, 5700075]
[paragraph, [79.0, 171.0, 600.0, 18.0], shoonya_2sH0MBXVO6HVX3, 5700075]
[paragraph, [79.0, 189.0, 600.0, 18.0], shoonya_2sH0MBXVO6HVX3, 5700075]
[paragraph, [79.0, 207.0, 600.0, 18.0], shoonya_2sH0MBXVO6HVX3, 5700075]
[paragraph, [79.0, 225.0, 600.0, 18.0], shoonya_2sH0MBXVO6HVX3, 5700075]
[paragraph, [79.0, 243.0, 600.0, 18.0], shoonya_2sH0MBXVO6HVX3, 5700075]
[paragraph, [79.0, 261.0, 600.0, 18.0], shoonya_2sH0MBXVO6HVX3, 5700075]
[paragraph, [79.0, 279.0, 600.0, 18.0], shoonya_2sH0MBXVO6HVX3, 5700075]
[paragraph, [79.0, 297.0, 600.0, 18.0], shoonya_2sH0MBXVO6HVX3, 5700075]
[paragraph, [81.0, 335.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 353.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 371.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 389.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 407.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 425.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 443.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 461.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 479.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 497.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 515.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 533.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 551.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 569.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 587.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [81.0, 605.0, 590.0, 18.0], shoonya_0sQFI7OIKX2D7K, 5700075]
[paragraph, [78.0, 647.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 665.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 683.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 701.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 719.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 737.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 755.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 773.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 791.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 809.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 827.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 845.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 863.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 881.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 899.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 917.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 935.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [78.0, 953.0, 595.0, 18.0], shoonya_1sWBGY4K327LR7, 5700075]
[paragraph, [68.0, 994.0, 605.0, 18.0], 1Yd5lMwEtF, 5700075]
[paragraph, [68.0, 1012.0, 605.0, 18.0], 1Yd5lMwEtF, 5700075]
[paragraph, [68.0, 1030.0, 605.0, 18.0], 1Yd5lMwEtF, 5700075]
[paragraph, [68.0, 1048.0, 605.0, 18.0], 1Yd5lMwEtF, 5700075]
[paragraph, [68.0, 1066.0, 605.0, 18.0], 1Yd5lMwEtF, 5700075]
