[1425, 1088]
[section-title, [202.0, 135.0, 737.0, 30.0], shoonya_6s9WAZS1ETHWX5, 5758801]
[section-title, [202.0, 165.0, 737.0, 30.0], shoonya_6s9WAZS1ETHWX5, 5758801]
[unordered-list, [102.0, 227.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[unordered-list, [102.0, 245.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[unordered-list, [102.0, 263.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[unordered-list, [102.0, 281.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[unordered-list, [102.0, 299.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[unordered-list, [102.0, 317.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[unordered-list, [102.0, 335.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[unordered-list, [102.0, 353.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[unordered-list, [102.0, 371.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[unordered-list, [102.0, 389.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[unordered-list, [102.0, 407.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[unordered-list, [102.0, 425.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[unordered-list, [102.0, 443.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[unordered-list, [102.0, 461.0, 845.0, 18.0], DNWGIzrdh5, 5758801]
[figure-caption, [230.0, 753.0, 576.0, 18.0], shoonya_5sG7TLSTESRJ5H, 5758801]
[unordered-list, [99.0, 790.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 808.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 826.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 844.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 862.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 880.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 898.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 916.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 934.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 952.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 970.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 988.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1006.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1024.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1042.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1060.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1078.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1096.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1114.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1132.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1150.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1168.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1186.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1204.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1222.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1240.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1258.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[unordered-list, [99.0, 1276.0, 857.0, 18.0], shoonya_0sK5XRFJ1G2V1X, 5758801]
[folio, [95.0, 1338.0, 170.0, 18.0], shoonya_4s0N04FLWJ0WUQ, 5758801]
[folio, [95.0, 1356.0, 170.0, 18.0], shoonya_4s0N04FLWJ0WUQ, 5758801]
