[1152, 739]
[paragraph, [98.0, 173.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 191.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 209.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 227.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 245.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 263.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 281.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 299.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 317.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 335.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 353.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 371.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 389.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 407.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 425.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 443.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [98.0, 461.0, 529.0, 18.0], 16Mg0eh4Ba, 5740997]
[paragraph, [102.0, 486.0, 532.0, 18.0], LNOh8W4zT5, 5740997]
[paragraph, [102.0, 504.0, 532.0, 18.0], LNOh8W4zT5, 5740997]
[paragraph, [102.0, 522.0, 532.0, 18.0], LNOh8W4zT5, 5740997]
[paragraph, [102.0, 540.0, 532.0, 18.0], LNOh8W4zT5, 5740997]
[paragraph, [102.0, 558.0, 532.0, 18.0], LNOh8W4zT5, 5740997]
[paragraph, [102.0, 576.0, 532.0, 18.0], LNOh8W4zT5, 5740997]
[paragraph, [102.0, 594.0, 532.0, 18.0], LNOh8W4zT5, 5740997]
[paragraph, [102.0, 612.0, 532.0, 18.0], LNOh8W4zT5, 5740997]
[paragraph, [102.0, 630.0, 532.0, 18.0], LNOh8W4zT5, 5740997]
[paragraph, [102.0, 648.0, 532.0, 18.0], LNOh8W4zT5, 5740997]
[paragraph, [102.0, 666.0, 532.0, 18.0], LNOh8W4zT5, 5740997]
[paragraph, [99.0, 694.0, 540.0, 18.0], Bm3M5EYmRp, 5740997]
[paragraph, [99.0, 712.0, 540.0, 18.0], Bm3M5EYmRp, 5740997]
[paragraph, [99.0, 730.0, 540.0, 18.0], Bm3M5EYmRp, 5740997]
[paragraph, [99.0, 748.0, 540.0, 18.0], Bm3M5EYmRp, 5740997]
[paragraph, [99.0, 766.0, 540.0, 18.0], Bm3M5EYmRp, 5740997]
[paragraph, [99.0, 784.0, 540.0, 18.0], Bm3M5EYmRp, 5740997]
[paragraph, [99.0, 802.0, 540.0, 18.0], Bm3M5EYmRp, 5740997]
[paragraph, [99.0, 820.0, 540.0, 18.0], Bm3M5EYmRp, 5740997]
[paragraph, [99.0, 838.0, 540.0, 18.0], Bm3M5EYmRp, 5740997]
[paragraph, [99.0, 856.0, 540.0, 18.0], Bm3M5EYmRp, 5740997]
[paragraph, [99.0, 874.0, 540.0, 18.0], Bm3M5EYmRp, 5740997]
[paragraph, [99.0, 892.0, 540.0, 18.0], Bm3M5EYmRp, 5740997]
[paragraph, [99.0, 928.0, 536.0, 18.0], HiV6w8aGdM, 5740997]
[paragraph, [99.0, 946.0, 536.0, 18.0], HiV6w8aGdM, 5740997]
[paragraph, [99.0, 964.0, 536.0, 18.0], HiV6w8aGdM, 5740997]
[paragraph, [99.0, 982.0, 536.0, 18.0], HiV6w8aGdM, 5740997]
[paragraph, [99.0, 1000.0, 536.0, 18.0], HiV6w8aGdM, 5740997]
[footnote, [420.0, 1112.0, 266.0, 18.0], 6eeXATFRPB, 5740997]
