[1755, 1242]
[headline, [107.0, 138.0, 819.0, 37.5], avvIU5TVrZ, 5747366]
[unordered-list, [99.0, 288.0, 697.0, 36.0], XjXFZzlStN, 5747366]
[unordered-list, [99.0, 324.0, 697.0, 36.0], XjXFZzlStN, 5747366]
[unordered-list, [99.0, 360.0, 697.0, 36.0], XjXFZzlStN, 5747366]
[unordered-list, [99.0, 396.0, 697.0, 36.0], XjXFZzlStN, 5747366]
[unordered-list, [99.0, 432.0, 697.0, 36.0], XjXFZzlStN, 5747366]
[unordered-list, [99.0, 468.0, 697.0, 36.0], XjXFZzlStN, 5747366]
[unordered-list, [99.0, 504.0, 697.0, 36.0], XjXFZzlStN, 5747366]
[unordered-list, [99.0, 540.0, 697.0, 36.0], XjXFZzlStN, 5747366]
[headline, [96.0, 598.0, 324.0, 37.5], RavbAGgd09, 5747366]
[folio, [789.0, 778.0, 272.0, 36.0], Z0Gd-g_WPX, 5747366]
[sub-section-title, [104.0, 780.0, 578.0, 36.0], OjMGDi-_cw, 5747366]
[unordered-list, [101.0, 852.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 888.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 924.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 960.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 996.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 1032.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 1068.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 1104.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 1140.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 1176.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 1212.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 1248.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 1284.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 1320.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 1356.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 1392.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 1428.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[unordered-list, [101.0, 1464.0, 1029.0, 36.0], 2Rx3QH3FkE, 5747366]
[sub-ordered-list, [268.0, 853.0, 694.0, 36.0], Zv6DfQJj4i, 5747366]
[sub-ordered-list, [268.0, 889.0, 694.0, 36.0], Zv6DfQJj4i, 5747366]
[sub-ordered-list, [268.0, 925.0, 694.0, 36.0], Zv6DfQJj4i, 5747366]
[sub-ordered-list, [268.0, 961.0, 694.0, 36.0], Zv6DfQJj4i, 5747366]
[sub-ordered-list, [268.0, 997.0, 694.0, 36.0], Zv6DfQJj4i, 5747366]
[sub-ordered-list, [268.0, 1033.0, 694.0, 36.0], Zv6DfQJj4i, 5747366]
[sub-ordered-list, [268.0, 1069.0, 694.0, 36.0], Zv6DfQJj4i, 5747366]
[sub-ordered-list, [268.0, 1105.0, 694.0, 36.0], Zv6DfQJj4i, 5747366]
[folio, [788.0, 862.0, 115.0, 36.0], n4FJ3G1cEJ, 5747366]
[paragraph, [320.0, 1165.0, 634.0, 36.0], cAJCOC_DqY, 5747366]
[paragraph, [293.0, 1311.0, 450.0, 36.0], JBndh_JkXE, 5747366]
[folio, [1011.0, 1394.0, 101.0, 36.0], 1D2x9wdy_c, 5747366]
