[2806, 1983]
[folio, [223.0, 232.0, 726.0, 46.5], shoonya_0sHOYPYEUOUZVT, 5681932]
[folio, [223.0, 278.5, 726.0, 46.5], shoonya_0sHOYPYEUOUZVT, 5681932]
[paragraph, [210.0, 446.0, 1559.0, 46.5], 3CphK_XPEJ, 5681932]
[paragraph, [210.0, 492.5, 1559.0, 46.5], 3CphK_XPEJ, 5681932]
[paragraph, [210.0, 539.0, 1559.0, 46.5], 3CphK_XPEJ, 5681932]
[paragraph, [210.0, 585.5, 1559.0, 46.5], 3CphK_XPEJ, 5681932]
[paragraph, [210.0, 632.0, 1559.0, 46.5], 3CphK_XPEJ, 5681932]
[paragraph, [210.0, 678.5, 1559.0, 46.5], 3CphK_XPEJ, 5681932]
[paragraph, [210.0, 725.0, 1559.0, 46.5], 3CphK_XPEJ, 5681932]
[paragraph, [210.0, 771.5, 1559.0, 46.5], 3CphK_XPEJ, 5681932]
[paragraph, [210.0, 818.0, 1559.0, 46.5], 3CphK_XPEJ, 5681932]
[paragraph, [213.0, 991.0, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1037.5, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1084.0, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1130.5, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1177.0, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1223.5, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1270.0, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1316.5, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1363.0, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1409.5, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1456.0, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1502.5, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1549.0, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1595.5, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1642.0, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1688.5, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1735.0, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1781.5, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1828.0, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [213.0, 1874.5, 1556.0, 46.5], p5SVfdWl1W, 5681932]
[paragraph, [218.0, 2032.0, 1549.0, 46.5], kR-AuUlcAl, 5681932]
[paragraph, [218.0, 2078.5, 1549.0, 46.5], kR-AuUlcAl, 5681932]
[paragraph, [218.0, 2125.0, 1549.0, 46.5], kR-AuUlcAl, 5681932]
[paragraph, [218.0, 2171.5, 1549.0, 46.5], kR-AuUlcAl, 5681932]
[paragraph, [218.0, 2218.0, 1549.0, 46.5], kR-AuUlcAl, 5681932]
[paragraph, [218.0, 2264.5, 1549.0, 46.5], kR-AuUlcAl, 5681932]
[paragraph, [218.0, 2311.0, 1549.0, 46.5], kR-AuUlcAl, 5681932]
[paragraph, [218.0, 2357.5, 1549.0, 46.5], kR-AuUlcAl, 5681932]
[paragraph, [218.0, 2404.0, 1549.0, 46.5], kR-AuUlcAl, 5681932]
[paragraph, [218.0, 2450.5, 1549.0, 46.5], kR-AuUlcAl, 5681932]
[paragraph, [218.0, 2497.0, 1549.0, 46.5], kR-AuUlcAl, 5681932]
