[1763, 1275]
[section-title, [688.0, 70.0, 548.0, 49.5], Au9iY2LV_W, 5713154]
[section-title, [688.0, 119.5, 548.0, 49.5], Au9iY2LV_W, 5713154]
[section-title, [51.0, 75.0, 553.0, 49.5], GfZXxLuabs, 5713154]
[section-title, [51.0, 124.5, 553.0, 49.5], GfZXxLuabs, 5713154]
[section-title, [51.0, 174.0, 553.0, 49.5], GfZXxLuabs, 5713154]
[section-title, [51.0, 223.5, 553.0, 49.5], GfZXxLuabs, 5713154]
[figure-caption, [680.0, 789.0, 537.0, 36.0], SjRsaMBuFI, 5713154]
[figure-caption, [680.0, 825.0, 537.0, 36.0], SjRsaMBuFI, 5713154]
[figure-caption, [680.0, 861.0, 537.0, 36.0], SjRsaMBuFI, 5713154]
[paragraph, [683.0, 915.0, 522.0, 36.0], YmDCHJ70MM, 5713154]
[paragraph, [683.0, 951.0, 522.0, 36.0], YmDCHJ70MM, 5713154]
[paragraph, [683.0, 987.0, 522.0, 36.0], YmDCHJ70MM, 5713154]
[paragraph, [683.0, 1023.0, 522.0, 36.0], YmDCHJ70MM, 5713154]
[figure-caption, [78.0, 1037.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1073.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1109.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1145.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1181.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1217.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1253.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1289.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1325.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1361.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1397.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1433.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1469.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1505.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1541.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1577.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [78.0, 1613.0, 506.0, 36.0], gD_2Vqam48, 5713154]
[figure-caption, [680.0, 1195.0, 522.0, 36.0], OGh6JjRfwC, 5713154]
[figure-caption, [680.0, 1231.0, 522.0, 36.0], OGh6JjRfwC, 5713154]
[figure-caption, [680.0, 1267.0, 522.0, 36.0], OGh6JjRfwC, 5713154]
[figure-caption, [680.0, 1303.0, 522.0, 36.0], OGh6JjRfwC, 5713154]
[figure-caption, [680.0, 1339.0, 522.0, 36.0], OGh6JjRfwC, 5713154]
[figure-caption, [680.0, 1375.0, 522.0, 36.0], OGh6JjRfwC, 5713154]
[figure-caption, [680.0, 1411.0, 522.0, 36.0], OGh6JjRfwC, 5713154]
[figure-caption, [680.0, 1447.0, 522.0, 36.0], OGh6JjRfwC, 5713154]
[contact-info, [675.0, 1510.0, 551.0, 36.0], 2HdCDAyf8k, 5713154]
[contact-info, [675.0, 1546.0, 551.0, 36.0], 2HdCDAyf8k, 5713154]
[contact-info, [675.0, 1582.0, 551.0, 36.0], 2HdCDAyf8k, 5713154]
[contact-info, [675.0, 1618.0, 551.0, 36.0], 2HdCDAyf8k, 5713154]
[contact-info, [675.0, 1654.0, 551.0, 36.0], 2HdCDAyf8k, 5713154]
[contact-info, [675.0, 1690.0, 551.0, 36.0], 2HdCDAyf8k, 5713154]
