[792, 612]
[paragraph, [60.0, 53.0, 160.0, 18.0], shoonya_0sBGG0BQ0KSG5E, 6515442]
[paragraph, [60.0, 71.0, 160.0, 18.0], shoonya_0sBGG0BQ0KSG5E, 6515442]
[paragraph, [226.0, 54.0, 158.0, 18.0], R-pfkkyouX, 6515442]
[paragraph, [226.0, 72.0, 158.0, 18.0], R-pfkkyouX, 6515442]
[paragraph, [390.0, 54.0, 159.0, 18.0], JTTYtTS26Y, 6515442]
[paragraph, [390.0, 72.0, 159.0, 18.0], JTTYtTS26Y, 6515442]
[paragraph, [390.0, 90.0, 159.0, 18.0], JTTYtTS26Y, 6515442]
[paragraph, [390.0, 108.0, 159.0, 18.0], JTTYtTS26Y, 6515442]
[paragraph, [390.0, 126.0, 159.0, 18.0], JTTYtTS26Y, 6515442]
[paragraph, [390.0, 144.0, 159.0, 18.0], JTTYtTS26Y, 6515442]
[paragraph, [226.0, 98.0, 158.0, 18.0], PhEzdorQqk, 6515442]
[paragraph, [226.0, 116.0, 158.0, 18.0], PhEzdorQqk, 6515442]
[paragraph, [226.0, 134.0, 158.0, 18.0], PhEzdorQqk, 6515442]
[paragraph, [226.0, 152.0, 158.0, 18.0], PhEzdorQqk, 6515442]
[paragraph, [226.0, 170.0, 158.0, 18.0], PhEzdorQqk, 6515442]
[paragraph, [60.0, 99.0, 159.0, 18.0], ZFBrtsMFgQ, 6515442]
[paragraph, [60.0, 117.0, 159.0, 18.0], ZFBrtsMFgQ, 6515442]
[paragraph, [60.0, 135.0, 159.0, 18.0], ZFBrtsMFgQ, 6515442]
[paragraph, [61.0, 169.0, 159.0, 18.0], AS9G-k4AK9, 6515442]
[paragraph, [61.0, 187.0, 159.0, 18.0], AS9G-k4AK9, 6515442]
[paragraph, [61.0, 205.0, 159.0, 18.0], AS9G-k4AK9, 6515442]
[paragraph, [61.0, 223.0, 159.0, 18.0], AS9G-k4AK9, 6515442]
[paragraph, [390.0, 169.0, 160.0, 18.0], EyGAtjWuaJ, 6515442]
[paragraph, [390.0, 187.0, 160.0, 18.0], EyGAtjWuaJ, 6515442]
[paragraph, [390.0, 205.0, 160.0, 18.0], EyGAtjWuaJ, 6515442]
[paragraph, [226.0, 197.0, 158.0, 18.0], EOkQtpizZO, 6515442]
[paragraph, [226.0, 215.0, 158.0, 18.0], EOkQtpizZO, 6515442]
[paragraph, [226.0, 233.0, 158.0, 18.0], EOkQtpizZO, 6515442]
[paragraph, [226.0, 251.0, 158.0, 18.0], EOkQtpizZO, 6515442]
[paragraph, [226.0, 269.0, 158.0, 18.0], EOkQtpizZO, 6515442]
[paragraph, [226.0, 287.0, 158.0, 18.0], EOkQtpizZO, 6515442]
[paragraph, [391.0, 226.0, 158.0, 18.0], n-sKzlu6Zm, 6515442]
[paragraph, [391.0, 244.0, 158.0, 18.0], n-sKzlu6Zm, 6515442]
[paragraph, [391.0, 262.0, 158.0, 18.0], n-sKzlu6Zm, 6515442]
[paragraph, [391.0, 280.0, 158.0, 18.0], n-sKzlu6Zm, 6515442]
[paragraph, [62.0, 254.0, 157.0, 18.0], bjzoO0Jpmf, 6515442]
[paragraph, [62.0, 272.0, 157.0, 18.0], bjzoO0Jpmf, 6515442]
[paragraph, [62.0, 290.0, 157.0, 18.0], bjzoO0Jpmf, 6515442]
[paragraph, [62.0, 308.0, 157.0, 18.0], bjzoO0Jpmf, 6515442]
[paragraph, [392.0, 310.0, 157.0, 18.0], 0t0rbo8Zjc, 6515442]
[paragraph, [392.0, 328.0, 157.0, 18.0], 0t0rbo8Zjc, 6515442]
[paragraph, [226.0, 323.0, 158.0, 18.0], uKDDjYYMPv, 6515442]
[paragraph, [226.0, 341.0, 158.0, 18.0], uKDDjYYMPv, 6515442]
[paragraph, [226.0, 359.0, 158.0, 18.0], uKDDjYYMPv, 6515442]
[paragraph, [226.0, 377.0, 158.0, 18.0], uKDDjYYMPv, 6515442]
[paragraph, [226.0, 395.0, 158.0, 18.0], uKDDjYYMPv, 6515442]
[paragraph, [226.0, 413.0, 158.0, 18.0], uKDDjYYMPv, 6515442]
[paragraph, [62.0, 337.0, 157.0, 18.0], VW2sUsGIrg, 6515442]
[paragraph, [62.0, 355.0, 157.0, 18.0], VW2sUsGIrg, 6515442]
[paragraph, [62.0, 373.0, 157.0, 18.0], VW2sUsGIrg, 6515442]
[paragraph, [62.0, 391.0, 157.0, 18.0], VW2sUsGIrg, 6515442]
[paragraph, [62.0, 409.0, 157.0, 18.0], VW2sUsGIrg, 6515442]
[paragraph, [62.0, 427.0, 157.0, 18.0], VW2sUsGIrg, 6515442]
[paragraph, [392.0, 352.0, 157.0, 18.0], shqFRFi7CW, 6515442]
[paragraph, [392.0, 370.0, 157.0, 18.0], shqFRFi7CW, 6515442]
[paragraph, [392.0, 388.0, 157.0, 18.0], shqFRFi7CW, 6515442]
[paragraph, [392.0, 406.0, 157.0, 18.0], shqFRFi7CW, 6515442]
[paragraph, [392.0, 424.0, 157.0, 18.0], shqFRFi7CW, 6515442]
