[792, 612]
[folio, [207.0, 45.0, 233.0, 18.0], q0j0ao-kvJ, 5743871]
[paragraph, [114.0, 70.0, 425.0, 18.0], ejc6vFAciU, 5743871]
[paragraph, [114.0, 88.0, 425.0, 18.0], ejc6vFAciU, 5743871]
[paragraph, [114.0, 106.0, 425.0, 18.0], ejc6vFAciU, 5743871]
[paragraph, [114.0, 124.0, 425.0, 18.0], ejc6vFAciU, 5743871]
[paragraph, [114.0, 142.0, 425.0, 18.0], ejc6vFAciU, 5743871]
[paragraph, [114.0, 160.0, 425.0, 18.0], ejc6vFAciU, 5743871]
[paragraph, [111.0, 192.0, 435.0, 18.0], bFr8ZtO-rX, 5743871]
[paragraph, [111.0, 210.0, 435.0, 18.0], bFr8ZtO-rX, 5743871]
[paragraph, [111.0, 228.0, 435.0, 18.0], bFr8ZtO-rX, 5743871]
[paragraph, [111.0, 246.0, 435.0, 18.0], bFr8ZtO-rX, 5743871]
[paragraph, [111.0, 264.0, 435.0, 18.0], bFr8ZtO-rX, 5743871]
[paragraph, [111.0, 282.0, 435.0, 18.0], bFr8ZtO-rX, 5743871]
[paragraph, [111.0, 300.0, 435.0, 18.0], bFr8ZtO-rX, 5743871]
[paragraph, [111.0, 339.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 357.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 375.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 393.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 411.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 429.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 447.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 465.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 483.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 501.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 519.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 537.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 555.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 573.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 591.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 609.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 627.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 645.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 663.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
[paragraph, [111.0, 681.0, 422.0, 18.0], J9y1mTzKMn, 5743871]
