[1755, 1241]
[folio, [553.0, 186.0, 511.0, 36.0], h7PYSr_f2s, 5759931]
[paragraph, [226.0, 260.0, 853.0, 36.0], QJH_hdIk1q, 5759931]
[paragraph, [226.0, 296.0, 853.0, 36.0], QJH_hdIk1q, 5759931]
[paragraph, [226.0, 332.0, 853.0, 36.0], QJH_hdIk1q, 5759931]
[paragraph, [226.0, 368.0, 853.0, 36.0], QJH_hdIk1q, 5759931]
[paragraph, [226.0, 404.0, 853.0, 36.0], QJH_hdIk1q, 5759931]
[paragraph, [226.0, 440.0, 853.0, 36.0], QJH_hdIk1q, 5759931]
[paragraph, [221.0, 497.0, 853.0, 36.0], ENYm88m_s4, 5759931]
[paragraph, [221.0, 533.0, 853.0, 36.0], ENYm88m_s4, 5759931]
[paragraph, [221.0, 569.0, 853.0, 36.0], ENYm88m_s4, 5759931]
[paragraph, [221.0, 605.0, 853.0, 36.0], ENYm88m_s4, 5759931]
[paragraph, [221.0, 641.0, 853.0, 36.0], ENYm88m_s4, 5759931]
[paragraph, [221.0, 677.0, 853.0, 36.0], ENYm88m_s4, 5759931]
[paragraph, [221.0, 713.0, 853.0, 36.0], ENYm88m_s4, 5759931]
[paragraph, [221.0, 749.0, 853.0, 36.0], ENYm88m_s4, 5759931]
[paragraph, [221.0, 785.0, 853.0, 36.0], ENYm88m_s4, 5759931]
[paragraph, [221.0, 866.0, 845.0, 36.0], GJWAM62AH_, 5759931]
[paragraph, [221.0, 902.0, 845.0, 36.0], GJWAM62AH_, 5759931]
[paragraph, [221.0, 938.0, 845.0, 36.0], GJWAM62AH_, 5759931]
[paragraph, [221.0, 974.0, 845.0, 36.0], GJWAM62AH_, 5759931]
[paragraph, [221.0, 1010.0, 845.0, 36.0], GJWAM62AH_, 5759931]
[paragraph, [218.0, 1075.0, 852.0, 36.0], 9r5Pt8EloP, 5759931]
[paragraph, [218.0, 1111.0, 852.0, 36.0], 9r5Pt8EloP, 5759931]
[paragraph, [218.0, 1147.0, 852.0, 36.0], 9r5Pt8EloP, 5759931]
[paragraph, [218.0, 1183.0, 852.0, 36.0], 9r5Pt8EloP, 5759931]
[paragraph, [218.0, 1219.0, 852.0, 36.0], 9r5Pt8EloP, 5759931]
[paragraph, [218.0, 1255.0, 852.0, 36.0], 9r5Pt8EloP, 5759931]
[paragraph, [218.0, 1291.0, 852.0, 36.0], 9r5Pt8EloP, 5759931]
[paragraph, [216.0, 1370.0, 852.0, 36.0], N-97ZokpH0, 5759931]
[paragraph, [216.0, 1406.0, 852.0, 36.0], N-97ZokpH0, 5759931]
[paragraph, [216.0, 1442.0, 852.0, 36.0], N-97ZokpH0, 5759931]
[paragraph, [216.0, 1478.0, 852.0, 36.0], N-97ZokpH0, 5759931]
[paragraph, [216.0, 1514.0, 852.0, 36.0], N-97ZokpH0, 5759931]
[paragraph, [216.0, 1550.0, 852.0, 36.0], N-97ZokpH0, 5759931]
