[1320, 1176]
[folio, [84.0, 56.0, 156.0, 18.0], shoonya_7sHQBTFREQG8S1, 5694477]
[folio, [84.0, 74.0, 156.0, 18.0], shoonya_7sHQBTFREQG8S1, 5694477]
[folio, [84.0, 92.0, 156.0, 18.0], shoonya_7sHQBTFREQG8S1, 5694477]
[folio, [84.0, 110.0, 156.0, 18.0], shoonya_7sHQBTFREQG8S1, 5694477]
[folio, [84.0, 128.0, 156.0, 18.0], shoonya_7sHQBTFREQG8S1, 5694477]
[folio, [84.0, 146.0, 156.0, 18.0], shoonya_7sHQBTFREQG8S1, 5694477]
[paragraph, [81.0, 184.0, 335.0, 18.0], shoonya_0sRA2EXD77Z6KS, 5694477]
[paragraph, [81.0, 202.0, 335.0, 18.0], shoonya_0sRA2EXD77Z6KS, 5694477]
[paragraph, [81.0, 220.0, 335.0, 18.0], shoonya_0sRA2EXD77Z6KS, 5694477]
[paragraph, [81.0, 238.0, 335.0, 18.0], shoonya_0sRA2EXD77Z6KS, 5694477]
[paragraph, [81.0, 256.0, 335.0, 18.0], shoonya_0sRA2EXD77Z6KS, 5694477]
[paragraph, [81.0, 274.0, 335.0, 18.0], shoonya_0sRA2EXD77Z6KS, 5694477]
[paragraph, [81.0, 292.0, 335.0, 18.0], shoonya_0sRA2EXD77Z6KS, 5694477]
[paragraph, [81.0, 310.0, 335.0, 18.0], shoonya_0sRA2EXD77Z6KS, 5694477]
[paragraph, [81.0, 328.0, 335.0, 18.0], shoonya_0sRA2EXD77Z6KS, 5694477]
[paragraph, [81.0, 346.0, 335.0, 18.0], shoonya_0sRA2EXD77Z6KS, 5694477]
[paragraph, [81.0, 364.0, 335.0, 18.0], shoonya_0sRA2EXD77Z6KS, 5694477]
[paragraph, [81.0, 382.0, 335.0, 18.0], shoonya_0sRA2EXD77Z6KS, 5694477]
[headline, [763.0, 203.0, 327.0, 25.5], EKIVgZUaYE, 5694477]
[headline, [763.0, 228.5, 327.0, 25.5], EKIVgZUaYE, 5694477]
[paragraph, [423.0, 212.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 230.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 248.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 266.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 284.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 302.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 320.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 338.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 356.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 374.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 392.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 410.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 428.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 446.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 464.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 482.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 500.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 518.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 536.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 554.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 572.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 590.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 608.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 626.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 644.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 662.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 680.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 698.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
[paragraph, [423.0, 716.0, 331.0, 18.0], shoonya_2sX7HALDTNNDML, 5694477]
