[2339, 1653]
[paragraph, [385.0, 198.0, 1081.0, 36.0], shoonya_2sMS73SRSEHUW1, 5733690]
[paragraph, [385.0, 234.0, 1081.0, 36.0], shoonya_2sMS73SRSEHUW1, 5733690]
[paragraph, [385.0, 270.0, 1081.0, 36.0], shoonya_2sMS73SRSEHUW1, 5733690]
[paragraph, [385.0, 306.0, 1081.0, 36.0], shoonya_2sMS73SRSEHUW1, 5733690]
[paragraph, [385.0, 342.0, 1081.0, 36.0], shoonya_2sMS73SRSEHUW1, 5733690]
[paragraph, [385.0, 378.0, 1081.0, 36.0], shoonya_2sMS73SRSEHUW1, 5733690]
[paragraph, [385.0, 414.0, 1081.0, 36.0], shoonya_2sMS73SRSEHUW1, 5733690]
[paragraph, [385.0, 450.0, 1081.0, 36.0], shoonya_2sMS73SRSEHUW1, 5733690]
[paragraph, [385.0, 486.0, 1081.0, 36.0], shoonya_2sMS73SRSEHUW1, 5733690]
[paragraph, [386.0, 543.0, 1081.0, 36.0], shoonya_1sJEH0M7ZL9R74, 5733690]
[paragraph, [386.0, 579.0, 1081.0, 36.0], shoonya_1sJEH0M7ZL9R74, 5733690]
[paragraph, [386.0, 615.0, 1081.0, 36.0], shoonya_1sJEH0M7ZL9R74, 5733690]
[paragraph, [386.0, 651.0, 1081.0, 36.0], shoonya_1sJEH0M7ZL9R74, 5733690]
[paragraph, [386.0, 687.0, 1081.0, 36.0], shoonya_1sJEH0M7ZL9R74, 5733690]
[paragraph, [386.0, 723.0, 1081.0, 36.0], shoonya_1sJEH0M7ZL9R74, 5733690]
[paragraph, [386.0, 759.0, 1081.0, 36.0], shoonya_1sJEH0M7ZL9R74, 5733690]
[paragraph, [386.0, 795.0, 1081.0, 36.0], shoonya_1sJEH0M7ZL9R74, 5733690]
[paragraph, [386.0, 831.0, 1081.0, 36.0], shoonya_1sJEH0M7ZL9R74, 5733690]
