[594, 841]
[folio, [266.0, 49.0, 60.0, 18.0], dZUJ5v3x6_, 6532824]
[folio, [611.0, 51.0, 55.0, 18.0], Zx39RLao6-, 6532824]
[paragraph, [144.0, 107.0, 297.0, 18.0], shoonya_0s0RJOPB68657Y, 6532824]
[paragraph, [144.0, 125.0, 297.0, 18.0], shoonya_0s0RJOPB68657Y, 6532824]
[paragraph, [144.0, 143.0, 297.0, 18.0], shoonya_0s0RJOPB68657Y, 6532824]
[paragraph, [144.0, 161.0, 297.0, 18.0], shoonya_0s0RJOPB68657Y, 6532824]
[paragraph, [144.0, 179.0, 297.0, 18.0], shoonya_0s0RJOPB68657Y, 6532824]
[paragraph, [144.0, 197.0, 297.0, 18.0], shoonya_0s0RJOPB68657Y, 6532824]
[paragraph, [144.0, 215.0, 297.0, 18.0], shoonya_0s0RJOPB68657Y, 6532824]
[paragraph, [144.0, 233.0, 297.0, 18.0], shoonya_0s0RJOPB68657Y, 6532824]
[paragraph, [144.0, 251.0, 297.0, 18.0], shoonya_0s0RJOPB68657Y, 6532824]
[paragraph, [494.0, 114.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [494.0, 132.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [494.0, 150.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [494.0, 168.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [494.0, 186.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [494.0, 204.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [494.0, 222.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [494.0, 240.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [494.0, 258.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [494.0, 276.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [494.0, 294.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [494.0, 312.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [494.0, 330.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [494.0, 348.0, 298.0, 18.0], SWH13ehjJZ, 6532824]
[paragraph, [145.0, 299.0, 286.0, 18.0], ofrlBqtRuN, 6532824]
[paragraph, [145.0, 317.0, 286.0, 18.0], ofrlBqtRuN, 6532824]
[paragraph, [145.0, 335.0, 286.0, 18.0], ofrlBqtRuN, 6532824]
[paragraph, [145.0, 353.0, 286.0, 18.0], ofrlBqtRuN, 6532824]
[paragraph, [486.0, 365.0, 286.0, 18.0], 02sAiEIUF1, 6532824]
[paragraph, [486.0, 383.0, 286.0, 18.0], 02sAiEIUF1, 6532824]
[paragraph, [486.0, 401.0, 286.0, 18.0], 02sAiEIUF1, 6532824]
[paragraph, [486.0, 419.0, 286.0, 18.0], 02sAiEIUF1, 6532824]
[paragraph, [486.0, 437.0, 286.0, 18.0], 02sAiEIUF1, 6532824]
[paragraph, [486.0, 455.0, 286.0, 18.0], 02sAiEIUF1, 6532824]
[paragraph, [486.0, 473.0, 286.0, 18.0], 02sAiEIUF1, 6532824]
[paragraph, [486.0, 491.0, 286.0, 18.0], 02sAiEIUF1, 6532824]
[paragraph, [486.0, 509.0, 286.0, 18.0], 02sAiEIUF1, 6532824]
[paragraph, [186.0, 376.0, 206.0, 18.0], KXYfu6PoM5, 6532824]
[paragraph, [186.0, 394.0, 206.0, 18.0], KXYfu6PoM5, 6532824]
[paragraph, [186.0, 412.0, 206.0, 18.0], KXYfu6PoM5, 6532824]
[paragraph, [186.0, 430.0, 206.0, 18.0], KXYfu6PoM5, 6532824]
[paragraph, [186.0, 448.0, 206.0, 18.0], KXYfu6PoM5, 6532824]
[paragraph, [186.0, 466.0, 206.0, 18.0], KXYfu6PoM5, 6532824]
[paragraph, [186.0, 484.0, 206.0, 18.0], KXYfu6PoM5, 6532824]
[paragraph, [186.0, 502.0, 206.0, 18.0], KXYfu6PoM5, 6532824]
