[1754, 1241]
[ordered-list, [125.0, 241.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 277.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 313.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 349.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 385.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 421.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 457.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 493.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 529.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 565.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 601.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 637.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 673.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 709.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 745.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 781.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 817.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 853.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 889.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 925.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 961.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 997.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 1033.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 1069.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 1105.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 1141.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 1177.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 1213.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 1249.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 1285.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 1321.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 1357.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 1393.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [125.0, 1429.0, 467.0, 36.0], 6vrcgA8v6K, 6476344]
[ordered-list, [594.0, 248.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 284.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 320.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 356.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 392.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 428.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 464.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 500.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 536.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 572.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 608.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 644.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 680.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 716.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 752.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 788.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 824.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 860.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 896.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 932.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 968.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 1004.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 1040.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 1076.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 1112.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 1148.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 1184.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 1220.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 1256.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 1292.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 1328.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 1364.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 1400.0, 462.0, 36.0], pjrafZmKxb, 6476344]
[ordered-list, [594.0, 1436.0, 462.0, 36.0], pjrafZmKxb, 6476344]
