[1063, 1418]
[section-title, [246.0, 163.0, 495.0, 30.0], shoonya_3sTQZ5GLZJ5G50, 5725625]
[paragraph, [241.0, 240.0, 579.0, 18.0], d0YxV0MH1D, 5725625]
[paragraph, [241.0, 258.0, 579.0, 18.0], d0YxV0MH1D, 5725625]
[paragraph, [241.0, 276.0, 579.0, 18.0], d0YxV0MH1D, 5725625]
[paragraph, [241.0, 294.0, 579.0, 18.0], d0YxV0MH1D, 5725625]
[paragraph, [241.0, 312.0, 579.0, 18.0], d0YxV0MH1D, 5725625]
[paragraph, [241.0, 330.0, 579.0, 18.0], d0YxV0MH1D, 5725625]
[paragraph, [241.0, 348.0, 579.0, 18.0], d0YxV0MH1D, 5725625]
[paragraph, [241.0, 366.0, 579.0, 18.0], d0YxV0MH1D, 5725625]
[section-title, [741.0, 581.0, 444.0, 30.0], shoonya_2sVNZWIFID50UI, 5725625]
[section-title, [741.0, 611.0, 444.0, 30.0], shoonya_2sVNZWIFID50UI, 5725625]
[paragraph, [670.0, 664.0, 603.0, 18.0], shoonya_4sVD38S6HDFHTO, 5725625]
[paragraph, [670.0, 682.0, 603.0, 18.0], shoonya_4sVD38S6HDFHTO, 5725625]
[paragraph, [670.0, 700.0, 603.0, 18.0], shoonya_4sVD38S6HDFHTO, 5725625]
[paragraph, [670.0, 718.0, 603.0, 18.0], shoonya_4sVD38S6HDFHTO, 5725625]
[paragraph, [670.0, 736.0, 603.0, 18.0], shoonya_4sVD38S6HDFHTO, 5725625]
[paragraph, [670.0, 754.0, 603.0, 18.0], shoonya_4sVD38S6HDFHTO, 5725625]
[paragraph, [670.0, 772.0, 603.0, 18.0], shoonya_4sVD38S6HDFHTO, 5725625]
[paragraph, [670.0, 790.0, 603.0, 18.0], shoonya_4sVD38S6HDFHTO, 5725625]
[paragraph, [670.0, 808.0, 603.0, 18.0], shoonya_4sVD38S6HDFHTO, 5725625]
[paragraph, [670.0, 826.0, 603.0, 18.0], shoonya_4sVD38S6HDFHTO, 5725625]
[folio, [108.0, 990.0, 529.0, 18.0], r2LtSQQLIy, 5725625]
[folio, [108.0, 1008.0, 529.0, 18.0], r2LtSQQLIy, 5725625]
