[2068, 1551]
[folio, [21.0, 44.0, 199.0, 36.0], cccOuujSKk, 5712615]
[paragraph, [17.0, 116.0, 729.0, 36.0], AJ-dhZuOrW, 5712615]
[paragraph, [17.0, 152.0, 729.0, 36.0], AJ-dhZuOrW, 5712615]
[paragraph, [17.0, 188.0, 729.0, 36.0], AJ-dhZuOrW, 5712615]
[paragraph, [17.0, 224.0, 729.0, 36.0], AJ-dhZuOrW, 5712615]
[paragraph, [17.0, 260.0, 729.0, 36.0], AJ-dhZuOrW, 5712615]
[paragraph, [17.0, 296.0, 729.0, 36.0], AJ-dhZuOrW, 5712615]
[paragraph, [17.0, 332.0, 729.0, 36.0], AJ-dhZuOrW, 5712615]
[paragraph, [17.0, 368.0, 729.0, 36.0], AJ-dhZuOrW, 5712615]
[paragraph, [17.0, 404.0, 729.0, 36.0], AJ-dhZuOrW, 5712615]
[paragraph, [17.0, 440.0, 729.0, 36.0], AJ-dhZuOrW, 5712615]
[paragraph, [17.0, 476.0, 729.0, 36.0], AJ-dhZuOrW, 5712615]
[paragraph, [1134.0, 116.0, 348.0, 36.0], qaN2gvu__R, 5712615]
[paragraph, [1134.0, 152.0, 348.0, 36.0], qaN2gvu__R, 5712615]
[paragraph, [1134.0, 188.0, 348.0, 36.0], qaN2gvu__R, 5712615]
[paragraph, [1134.0, 224.0, 348.0, 36.0], qaN2gvu__R, 5712615]
[paragraph, [1134.0, 260.0, 348.0, 36.0], qaN2gvu__R, 5712615]
[paragraph, [1134.0, 296.0, 348.0, 36.0], qaN2gvu__R, 5712615]
[paragraph, [1134.0, 332.0, 348.0, 36.0], qaN2gvu__R, 5712615]
[paragraph, [1134.0, 368.0, 348.0, 36.0], qaN2gvu__R, 5712615]
[paragraph, [750.0, 420.0, 722.0, 36.0], occUA4r8t_, 5712615]
[paragraph, [750.0, 456.0, 722.0, 36.0], occUA4r8t_, 5712615]
[paragraph, [750.0, 492.0, 722.0, 36.0], occUA4r8t_, 5712615]
[paragraph, [755.0, 524.0, 735.0, 36.0], tmbwKNqv4O, 5712615]
[paragraph, [755.0, 560.0, 735.0, 36.0], tmbwKNqv4O, 5712615]
[paragraph, [755.0, 596.0, 735.0, 36.0], tmbwKNqv4O, 5712615]
[paragraph, [755.0, 632.0, 735.0, 36.0], tmbwKNqv4O, 5712615]
[paragraph, [755.0, 668.0, 735.0, 36.0], tmbwKNqv4O, 5712615]
[paragraph, [25.0, 559.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 595.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 631.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 667.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 703.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 739.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 775.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 811.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 847.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 883.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 919.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 955.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 991.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 1027.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 1063.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 1099.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 1135.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [25.0, 1171.0, 729.0, 36.0], 2uXxUoG81N, 5712615]
[paragraph, [753.0, 764.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 800.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 836.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 872.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 908.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 944.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 980.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 1016.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 1052.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 1088.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 1124.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 1160.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 1196.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 1232.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 1268.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 1304.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 1340.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 1376.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
[paragraph, [753.0, 1412.0, 716.0, 36.0], QXgu4SQdo1, 5712615]
