[2337, 1653]
[contact-info, [371.0, 150.0, 950.0, 36.0], 8MHRjXd2um, 5658266]
[contact-info, [371.0, 186.0, 950.0, 36.0], 8MHRjXd2um, 5658266]
[contact-info, [371.0, 222.0, 950.0, 36.0], 8MHRjXd2um, 5658266]
[contact-info, [216.0, 276.0, 512.0, 36.0], E_Knoa1Bag, 5658266]
[contact-info, [950.0, 281.0, 533.0, 36.0], jUzd3dG1OE, 5658266]
[folio, [206.0, 343.0, 636.0, 36.0], 9iD4fuOihE, 5658266]
[section-title, [778.0, 396.0, 146.0, 52.5], Gnc9l0FCWH, 5658266]
[paragraph, [198.0, 478.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 514.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 550.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 586.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 622.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 658.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 694.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 730.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 766.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 802.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 838.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 874.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 910.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 946.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 982.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 1018.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 1054.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[paragraph, [198.0, 1090.0, 1319.0, 36.0], shoonya_0sBDNBRT441HZW, 5658266]
[website-link, [624.0, 1018.0, 355.0, 18.0], wxj7nnSyWT, 5658266]
[website-link, [624.0, 1036.0, 355.0, 18.0], wxj7nnSyWT, 5658266]
[website-link, [624.0, 1054.0, 355.0, 18.0], wxj7nnSyWT, 5658266]
[figure-caption, [915.0, 1217.0, 541.0, 36.0], eGEsv1ULPh, 5658266]
[figure-caption, [915.0, 1253.0, 541.0, 36.0], eGEsv1ULPh, 5658266]
