[588, 379]
[paragraph, [39.0, 67.0, 319.0, 18.0], ZH-1ZULAMg, 6493165]
[paragraph, [39.0, 85.0, 319.0, 18.0], ZH-1ZULAMg, 6493165]
[paragraph, [39.0, 103.0, 319.0, 18.0], ZH-1ZULAMg, 6493165]
[paragraph, [39.0, 121.0, 319.0, 18.0], ZH-1ZULAMg, 6493165]
[paragraph, [39.0, 139.0, 319.0, 18.0], ZH-1ZULAMg, 6493165]
[paragraph, [39.0, 157.0, 319.0, 18.0], ZH-1ZULAMg, 6493165]
[paragraph, [39.0, 175.0, 319.0, 18.0], ZH-1ZULAMg, 6493165]
[paragraph, [36.0, 199.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 217.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 235.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 253.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 271.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 289.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 307.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 325.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 343.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 361.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 379.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 397.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 415.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 433.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 451.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 469.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 487.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 505.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 523.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
[paragraph, [36.0, 541.0, 324.0, 18.0], ikD9yL_w1Q, 6493165]
