[1518, 1075]
[paragraph, [115.0, 143.0, 427.0, 36.0], shoonya_2sSGD048YWADUM, 5722143]
[paragraph, [115.0, 179.0, 427.0, 36.0], shoonya_2sSGD048YWADUM, 5722143]
[paragraph, [115.0, 215.0, 427.0, 36.0], shoonya_2sSGD048YWADUM, 5722143]
[paragraph, [115.0, 251.0, 427.0, 36.0], shoonya_2sSGD048YWADUM, 5722143]
[paragraph, [115.0, 287.0, 427.0, 36.0], shoonya_2sSGD048YWADUM, 5722143]
[paragraph, [115.0, 323.0, 427.0, 36.0], shoonya_2sSGD048YWADUM, 5722143]
[paragraph, [115.0, 359.0, 427.0, 36.0], shoonya_2sSGD048YWADUM, 5722143]
[paragraph, [115.0, 395.0, 427.0, 36.0], shoonya_2sSGD048YWADUM, 5722143]
[paragraph, [557.0, 146.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 182.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 218.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 254.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 290.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 326.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 362.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 398.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 434.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 470.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 506.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 542.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 578.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 614.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 650.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 686.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 722.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 758.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 794.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 830.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 866.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 902.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 938.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 974.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [557.0, 1010.0, 428.0, 36.0], shoonya_3s5FF8VMT5JOR9, 5722143]
[paragraph, [114.0, 441.0, 425.0, 36.0], shoonya_1sUTS8OV3RGK33, 5722143]
[paragraph, [114.0, 477.0, 425.0, 36.0], shoonya_1sUTS8OV3RGK33, 5722143]
[paragraph, [114.0, 513.0, 425.0, 36.0], shoonya_1sUTS8OV3RGK33, 5722143]
[paragraph, [114.0, 549.0, 425.0, 36.0], shoonya_1sUTS8OV3RGK33, 5722143]
[paragraph, [114.0, 585.0, 425.0, 36.0], shoonya_1sUTS8OV3RGK33, 5722143]
[paragraph, [114.0, 621.0, 425.0, 36.0], shoonya_1sUTS8OV3RGK33, 5722143]
[paragraph, [114.0, 657.0, 425.0, 36.0], shoonya_1sUTS8OV3RGK33, 5722143]
[paragraph, [114.0, 693.0, 425.0, 36.0], shoonya_1sUTS8OV3RGK33, 5722143]
[paragraph, [114.0, 729.0, 425.0, 36.0], shoonya_1sUTS8OV3RGK33, 5722143]
[paragraph, [114.0, 765.0, 425.0, 36.0], shoonya_1sUTS8OV3RGK33, 5722143]
[paragraph, [114.0, 872.0, 426.0, 36.0], shoonya_0s092SXLKXDCJ1, 5722143]
[paragraph, [114.0, 908.0, 426.0, 36.0], shoonya_0s092SXLKXDCJ1, 5722143]
[paragraph, [114.0, 944.0, 426.0, 36.0], shoonya_0s092SXLKXDCJ1, 5722143]
[paragraph, [114.0, 980.0, 426.0, 36.0], shoonya_0s092SXLKXDCJ1, 5722143]
[paragraph, [114.0, 1016.0, 426.0, 36.0], shoonya_0s092SXLKXDCJ1, 5722143]
[paragraph, [114.0, 1052.0, 426.0, 36.0], shoonya_0s092SXLKXDCJ1, 5722143]
[paragraph, [114.0, 1088.0, 426.0, 36.0], shoonya_0s092SXLKXDCJ1, 5722143]
[paragraph, [114.0, 1124.0, 426.0, 36.0], shoonya_0s092SXLKXDCJ1, 5722143]
[paragraph, [114.0, 1160.0, 426.0, 36.0], shoonya_0s092SXLKXDCJ1, 5722143]
[paragraph, [114.0, 1196.0, 426.0, 36.0], shoonya_0s092SXLKXDCJ1, 5722143]
[paragraph, [114.0, 1232.0, 426.0, 36.0], shoonya_0s092SXLKXDCJ1, 5722143]
[paragraph, [114.0, 1268.0, 426.0, 36.0], shoonya_0s092SXLKXDCJ1, 5722143]
[paragraph, [114.0, 1304.0, 426.0, 36.0], shoonya_0s092SXLKXDCJ1, 5722143]
[paragraph, [555.0, 1080.0, 429.0, 36.0], shoonya_7sP8QZ28NC74BK, 5722143]
[paragraph, [555.0, 1116.0, 429.0, 36.0], shoonya_7sP8QZ28NC74BK, 5722143]
[paragraph, [555.0, 1152.0, 429.0, 36.0], shoonya_7sP8QZ28NC74BK, 5722143]
[paragraph, [555.0, 1188.0, 429.0, 36.0], shoonya_7sP8QZ28NC74BK, 5722143]
[paragraph, [555.0, 1224.0, 429.0, 36.0], shoonya_7sP8QZ28NC74BK, 5722143]
[paragraph, [555.0, 1260.0, 429.0, 36.0], shoonya_7sP8QZ28NC74BK, 5722143]
[paragraph, [555.0, 1296.0, 429.0, 36.0], shoonya_7sP8QZ28NC74BK, 5722143]
[folio, [253.0, 1348.0, 588.0, 36.0], itlB-77267, 5722143]
[folio, [189.0, 1390.0, 305.0, 36.0], uXFLXBmF-6, 5722143]
