[1650, 1275]
[paragraph, [139.0, 145.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 181.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 217.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 253.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 289.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 325.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 361.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 397.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 433.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 469.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 505.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 541.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 577.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 613.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 649.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 685.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 721.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 757.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 793.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 829.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 865.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 901.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 937.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 973.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 1009.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 1045.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 1081.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 1117.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 1153.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 1189.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 1225.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 1261.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 1297.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 1333.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 1369.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
[paragraph, [139.0, 1405.0, 1006.0, 36.0], shoonya_1s8462MLY957HE, 5704160]
