[1862, 1450]
[folio, [1117.0, 159.0, 148.0, 36.0], np_iz_b80-, 5771915]
[headline, [188.0, 221.0, 1068.0, 37.5], shoonya_2sT93GMNIRQSU3, 5771915]
[headline, [188.0, 258.5, 1068.0, 37.5], shoonya_2sT93GMNIRQSU3, 5771915]
[ordered-list, [741.0, 334.0, 523.0, 36.0], iLsb5JZ77f, 5771915]
[ordered-list, [741.0, 370.0, 523.0, 36.0], iLsb5JZ77f, 5771915]
[ordered-list, [741.0, 406.0, 523.0, 36.0], iLsb5JZ77f, 5771915]
[ordered-list, [741.0, 442.0, 523.0, 36.0], iLsb5JZ77f, 5771915]
[paragraph, [179.0, 337.0, 541.0, 36.0], eTvUpxfguK, 5771915]
[paragraph, [179.0, 373.0, 541.0, 36.0], eTvUpxfguK, 5771915]
[paragraph, [179.0, 409.0, 541.0, 36.0], eTvUpxfguK, 5771915]
[paragraph, [179.0, 445.0, 541.0, 36.0], eTvUpxfguK, 5771915]
[ordered-list, [190.0, 1010.0, 541.0, 36.0], shoonya_5sZPQDJA7XPVRG, 5771915]
[ordered-list, [190.0, 1046.0, 541.0, 36.0], shoonya_5sZPQDJA7XPVRG, 5771915]
[ordered-list, [190.0, 1082.0, 541.0, 36.0], shoonya_5sZPQDJA7XPVRG, 5771915]
[ordered-list, [190.0, 1118.0, 541.0, 36.0], shoonya_5sZPQDJA7XPVRG, 5771915]
[ordered-list, [190.0, 1154.0, 541.0, 36.0], shoonya_5sZPQDJA7XPVRG, 5771915]
[ordered-list, [190.0, 1190.0, 541.0, 36.0], shoonya_5sZPQDJA7XPVRG, 5771915]
[ordered-list, [190.0, 1226.0, 541.0, 36.0], shoonya_5sZPQDJA7XPVRG, 5771915]
[ordered-list, [190.0, 1262.0, 541.0, 36.0], shoonya_5sZPQDJA7XPVRG, 5771915]
[ordered-list, [190.0, 1298.0, 541.0, 36.0], shoonya_5sZPQDJA7XPVRG, 5771915]
[ordered-list, [190.0, 1334.0, 541.0, 36.0], shoonya_5sZPQDJA7XPVRG, 5771915]
[ordered-list, [190.0, 1370.0, 541.0, 36.0], shoonya_5sZPQDJA7XPVRG, 5771915]
[ordered-list, [190.0, 1406.0, 541.0, 36.0], shoonya_5sZPQDJA7XPVRG, 5771915]
[ordered-list, [190.0, 1442.0, 541.0, 36.0], shoonya_5sZPQDJA7XPVRG, 5771915]
[ordered-list, [730.0, 1013.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1049.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1085.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1121.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1157.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1193.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1229.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1265.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1301.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1337.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1373.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1409.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1445.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1481.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1517.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[ordered-list, [730.0, 1553.0, 552.0, 36.0], 2bA9-ZBuPN, 5771915]
[sidebar, [170.0, 1475.0, 543.0, 36.0], TnPHddmyXQ, 5771915]
[sidebar, [170.0, 1511.0, 543.0, 36.0], TnPHddmyXQ, 5771915]
[sidebar, [170.0, 1547.0, 543.0, 36.0], TnPHddmyXQ, 5771915]
[sidebar, [170.0, 1583.0, 543.0, 36.0], TnPHddmyXQ, 5771915]
[folio, [139.0, 1729.0, 314.0, 36.0], shoonya_4s1AKFS66UODI9, 5771915]
