[1162, 749]
[folio, [323.0, 78.0, 128.0, 18.0], WmpMPKsMmF, 5699836]
[paragraph, [77.0, 123.0, 585.0, 18.0], shoonya_2s36DQSGYNMJOY, 5699836]
[paragraph, [77.0, 141.0, 585.0, 18.0], shoonya_2s36DQSGYNMJOY, 5699836]
[paragraph, [77.0, 159.0, 585.0, 18.0], shoonya_2s36DQSGYNMJOY, 5699836]
[paragraph, [77.0, 177.0, 585.0, 18.0], shoonya_2s36DQSGYNMJOY, 5699836]
[paragraph, [77.0, 195.0, 585.0, 18.0], shoonya_2s36DQSGYNMJOY, 5699836]
[paragraph, [77.0, 213.0, 585.0, 18.0], shoonya_2s36DQSGYNMJOY, 5699836]
[paragraph, [77.0, 231.0, 585.0, 18.0], shoonya_2s36DQSGYNMJOY, 5699836]
[paragraph, [78.0, 263.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 281.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 299.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 317.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 335.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 353.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 371.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 389.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 407.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 425.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 443.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 461.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 479.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 497.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 515.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 533.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 551.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 569.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 587.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [78.0, 605.0, 591.0, 18.0], shoonya_0sGLX7L75O6DWO, 5699836]
[paragraph, [79.0, 639.0, 593.0, 18.0], shoonya_1sQ1BM80ILRHR7, 5699836]
[paragraph, [79.0, 657.0, 593.0, 18.0], shoonya_1sQ1BM80ILRHR7, 5699836]
[paragraph, [79.0, 675.0, 593.0, 18.0], shoonya_1sQ1BM80ILRHR7, 5699836]
[paragraph, [79.0, 693.0, 593.0, 18.0], shoonya_1sQ1BM80ILRHR7, 5699836]
[paragraph, [79.0, 711.0, 593.0, 18.0], shoonya_1sQ1BM80ILRHR7, 5699836]
[paragraph, [79.0, 729.0, 593.0, 18.0], shoonya_1sQ1BM80ILRHR7, 5699836]
[paragraph, [79.0, 747.0, 593.0, 18.0], shoonya_1sQ1BM80ILRHR7, 5699836]
[paragraph, [79.0, 765.0, 593.0, 18.0], shoonya_1sQ1BM80ILRHR7, 5699836]
[paragraph, [79.0, 783.0, 593.0, 18.0], shoonya_1sQ1BM80ILRHR7, 5699836]
[paragraph, [79.0, 801.0, 593.0, 18.0], shoonya_1sQ1BM80ILRHR7, 5699836]
[paragraph, [79.0, 819.0, 593.0, 18.0], shoonya_1sQ1BM80ILRHR7, 5699836]
[paragraph, [79.0, 851.0, 600.0, 18.0], shoonya_3s90MQJPA5PNAW, 5699836]
[paragraph, [79.0, 869.0, 600.0, 18.0], shoonya_3s90MQJPA5PNAW, 5699836]
[paragraph, [79.0, 887.0, 600.0, 18.0], shoonya_3s90MQJPA5PNAW, 5699836]
[paragraph, [79.0, 905.0, 600.0, 18.0], shoonya_3s90MQJPA5PNAW, 5699836]
[paragraph, [79.0, 923.0, 600.0, 18.0], shoonya_3s90MQJPA5PNAW, 5699836]
[paragraph, [79.0, 941.0, 600.0, 18.0], shoonya_3s90MQJPA5PNAW, 5699836]
[paragraph, [79.0, 959.0, 600.0, 18.0], shoonya_3s90MQJPA5PNAW, 5699836]
[paragraph, [79.0, 977.0, 600.0, 18.0], shoonya_3s90MQJPA5PNAW, 5699836]
[paragraph, [79.0, 995.0, 600.0, 18.0], shoonya_3s90MQJPA5PNAW, 5699836]
[paragraph, [79.0, 1013.0, 600.0, 18.0], shoonya_3s90MQJPA5PNAW, 5699836]
[footnote, [107.0, 1059.0, 372.0, 18.0], E2rZL1VVMl, 5699836]
