[1282, 930]
[chapter-title, [292.0, 64.0, 260.0, 30.0], shoonya_4sAQSY1JUSNF23, 5775799]
[paragraph, [110.0, 103.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [110.0, 121.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [110.0, 139.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [110.0, 157.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [110.0, 175.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [110.0, 193.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [110.0, 211.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [110.0, 229.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [110.0, 247.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [110.0, 265.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [110.0, 283.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [110.0, 301.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [110.0, 319.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [110.0, 337.0, 626.0, 18.0], shoonya_0sYTF77YNBD6KX, 5775799]
[paragraph, [111.0, 357.0, 627.0, 18.0], shoonya_1sCOA7BKWRR8D6, 5775799]
[paragraph, [111.0, 375.0, 627.0, 18.0], shoonya_1sCOA7BKWRR8D6, 5775799]
[paragraph, [111.0, 393.0, 627.0, 18.0], shoonya_1sCOA7BKWRR8D6, 5775799]
[paragraph, [111.0, 411.0, 627.0, 18.0], shoonya_1sCOA7BKWRR8D6, 5775799]
[paragraph, [111.0, 429.0, 627.0, 18.0], shoonya_1sCOA7BKWRR8D6, 5775799]
