[1650, 1275]
[paragraph, [143.0, 151.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 187.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 223.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 259.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 295.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 331.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 367.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 403.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 439.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 475.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 511.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 547.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 583.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 619.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 655.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 691.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [143.0, 727.0, 997.0, 36.0], shoonya_0s6Z7G3JXO90I5, 5704494]
[paragraph, [140.0, 799.0, 996.0, 36.0], shoonya_1sXER04O07WPYZ, 5704494]
[paragraph, [140.0, 835.0, 996.0, 36.0], shoonya_1sXER04O07WPYZ, 5704494]
[paragraph, [140.0, 871.0, 996.0, 36.0], shoonya_1sXER04O07WPYZ, 5704494]
[paragraph, [140.0, 907.0, 996.0, 36.0], shoonya_1sXER04O07WPYZ, 5704494]
[paragraph, [140.0, 943.0, 996.0, 36.0], shoonya_1sXER04O07WPYZ, 5704494]
[paragraph, [140.0, 979.0, 996.0, 36.0], shoonya_1sXER04O07WPYZ, 5704494]
[paragraph, [140.0, 1015.0, 996.0, 36.0], shoonya_1sXER04O07WPYZ, 5704494]
[paragraph, [140.0, 1051.0, 996.0, 36.0], shoonya_1sXER04O07WPYZ, 5704494]
[paragraph, [140.0, 1139.0, 994.0, 36.0], shoonya_2sIDOXKPHJO8BY, 5704494]
[paragraph, [140.0, 1175.0, 994.0, 36.0], shoonya_2sIDOXKPHJO8BY, 5704494]
[paragraph, [140.0, 1211.0, 994.0, 36.0], shoonya_2sIDOXKPHJO8BY, 5704494]
[paragraph, [140.0, 1247.0, 994.0, 36.0], shoonya_2sIDOXKPHJO8BY, 5704494]
[paragraph, [140.0, 1283.0, 994.0, 36.0], shoonya_2sIDOXKPHJO8BY, 5704494]
[paragraph, [140.0, 1319.0, 994.0, 36.0], shoonya_2sIDOXKPHJO8BY, 5704494]
[paragraph, [140.0, 1355.0, 994.0, 36.0], shoonya_2sIDOXKPHJO8BY, 5704494]
[paragraph, [140.0, 1391.0, 994.0, 36.0], shoonya_2sIDOXKPHJO8BY, 5704494]
[paragraph, [140.0, 1427.0, 994.0, 36.0], shoonya_2sIDOXKPHJO8BY, 5704494]
