[3968, 2806]
[headline, [1277.0, 210.0, 1325.0, 52.5], qc57hwKQGW, 5683722]
[headline, [1277.0, 262.5, 1325.0, 52.5], qc57hwKQGW, 5683722]
[headline, [1277.0, 315.0, 1325.0, 52.5], qc57hwKQGW, 5683722]
[headline, [1277.0, 367.5, 1325.0, 52.5], qc57hwKQGW, 5683722]
[headline, [1277.0, 420.0, 1325.0, 52.5], qc57hwKQGW, 5683722]
[headline, [1277.0, 472.5, 1325.0, 52.5], qc57hwKQGW, 5683722]
[headline, [1277.0, 525.0, 1325.0, 52.5], qc57hwKQGW, 5683722]
[author, [1342.0, 1268.0, 1232.0, 52.5], shoonya_4s1PI556I2V66S, 5683722]
[author, [1342.0, 1320.5, 1232.0, 52.5], shoonya_4s1PI556I2V66S, 5683722]
[author, [1342.0, 1373.0, 1232.0, 52.5], shoonya_4s1PI556I2V66S, 5683722]
[author, [1342.0, 1425.5, 1232.0, 52.5], shoonya_4s1PI556I2V66S, 5683722]
[paragraph, [167.0, 1594.0, 1181.0, 52.5], shoonya_3sGFFS5HIOSGHJ, 5683722]
[paragraph, [167.0, 1646.5, 1181.0, 52.5], shoonya_3sGFFS5HIOSGHJ, 5683722]
[paragraph, [167.0, 1699.0, 1181.0, 52.5], shoonya_3sGFFS5HIOSGHJ, 5683722]
[paragraph, [167.0, 1751.5, 1181.0, 52.5], shoonya_3sGFFS5HIOSGHJ, 5683722]
[paragraph, [167.0, 1804.0, 1181.0, 52.5], shoonya_3sGFFS5HIOSGHJ, 5683722]
[paragraph, [167.0, 1856.5, 1181.0, 52.5], shoonya_3sGFFS5HIOSGHJ, 5683722]
[paragraph, [167.0, 1909.0, 1181.0, 52.5], shoonya_3sGFFS5HIOSGHJ, 5683722]
[paragraph, [167.0, 1961.5, 1181.0, 52.5], shoonya_3sGFFS5HIOSGHJ, 5683722]
[paragraph, [167.0, 2014.0, 1181.0, 52.5], shoonya_3sGFFS5HIOSGHJ, 5683722]
[paragraph, [167.0, 2066.5, 1181.0, 52.5], shoonya_3sGFFS5HIOSGHJ, 5683722]
[paragraph, [167.0, 2119.0, 1181.0, 52.5], shoonya_3sGFFS5HIOSGHJ, 5683722]
[paragraph, [167.0, 2171.5, 1181.0, 52.5], shoonya_3sGFFS5HIOSGHJ, 5683722]
