[1200, 825]
[paragraph, [140.0, 100.0, 549.0, 18.0], shoonya_0s540HV8VPAVAD, 5691339]
[paragraph, [140.0, 118.0, 549.0, 18.0], shoonya_0s540HV8VPAVAD, 5691339]
[paragraph, [140.0, 136.0, 549.0, 18.0], shoonya_0s540HV8VPAVAD, 5691339]
[paragraph, [140.0, 154.0, 549.0, 18.0], shoonya_0s540HV8VPAVAD, 5691339]
[paragraph, [140.0, 172.0, 549.0, 18.0], shoonya_0s540HV8VPAVAD, 5691339]
[paragraph, [140.0, 190.0, 549.0, 18.0], shoonya_0s540HV8VPAVAD, 5691339]
[paragraph, [140.0, 208.0, 549.0, 18.0], shoonya_0s540HV8VPAVAD, 5691339]
[paragraph, [140.0, 226.0, 549.0, 18.0], shoonya_0s540HV8VPAVAD, 5691339]
[paragraph, [140.0, 244.0, 549.0, 18.0], shoonya_0s540HV8VPAVAD, 5691339]
[paragraph, [140.0, 262.0, 549.0, 18.0], shoonya_0s540HV8VPAVAD, 5691339]
[paragraph, [140.0, 280.0, 549.0, 18.0], shoonya_0s540HV8VPAVAD, 5691339]
[paragraph, [140.0, 298.0, 549.0, 18.0], shoonya_0s540HV8VPAVAD, 5691339]
[paragraph, [136.0, 327.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 345.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 363.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 381.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 399.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 417.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 435.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 453.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 471.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 489.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 507.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 525.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 543.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 561.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 579.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 597.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 615.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 633.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 651.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 669.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 687.0, 551.0, 18.0], KEoMDlVQSX, 5691339]
[paragraph, [136.0, 717.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 735.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 753.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 771.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 789.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 807.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 825.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 843.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 861.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 879.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 897.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 915.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 933.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 951.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 969.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 987.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 1005.0, 556.0, 18.0], b9djwL6DH4, 5691339]
[paragraph, [136.0, 1023.0, 556.0, 18.0], b9djwL6DH4, 5691339]
