[1044, 673]
[paragraph, [100.0, 76.0, 556.0, 18.0], shoonya_4sYEX0VNOEM5Y8, 5690798]
[paragraph, [100.0, 94.0, 556.0, 18.0], shoonya_4sYEX0VNOEM5Y8, 5690798]
[paragraph, [100.0, 112.0, 556.0, 18.0], shoonya_4sYEX0VNOEM5Y8, 5690798]
[paragraph, [100.0, 130.0, 556.0, 18.0], shoonya_4sYEX0VNOEM5Y8, 5690798]
[paragraph, [100.0, 154.0, 558.0, 18.0], shoonya_0s185UC2HG3VWE, 5690798]
[paragraph, [100.0, 172.0, 558.0, 18.0], shoonya_0s185UC2HG3VWE, 5690798]
[paragraph, [100.0, 190.0, 558.0, 18.0], shoonya_0s185UC2HG3VWE, 5690798]
[paragraph, [100.0, 208.0, 558.0, 18.0], shoonya_0s185UC2HG3VWE, 5690798]
[paragraph, [100.0, 226.0, 558.0, 18.0], shoonya_0s185UC2HG3VWE, 5690798]
[paragraph, [100.0, 244.0, 558.0, 18.0], shoonya_0s185UC2HG3VWE, 5690798]
[paragraph, [100.0, 262.0, 558.0, 18.0], shoonya_0s185UC2HG3VWE, 5690798]
[paragraph, [100.0, 280.0, 558.0, 18.0], shoonya_0s185UC2HG3VWE, 5690798]
[paragraph, [95.0, 314.0, 562.0, 18.0], shoonya_1sFV938TKM9WO5, 5690798]
[paragraph, [95.0, 332.0, 562.0, 18.0], shoonya_1sFV938TKM9WO5, 5690798]
[paragraph, [95.0, 350.0, 562.0, 18.0], shoonya_1sFV938TKM9WO5, 5690798]
[paragraph, [95.0, 368.0, 562.0, 18.0], shoonya_1sFV938TKM9WO5, 5690798]
[paragraph, [95.0, 386.0, 562.0, 18.0], shoonya_1sFV938TKM9WO5, 5690798]
[paragraph, [95.0, 404.0, 562.0, 18.0], shoonya_1sFV938TKM9WO5, 5690798]
[paragraph, [95.0, 422.0, 562.0, 18.0], shoonya_1sFV938TKM9WO5, 5690798]
[paragraph, [95.0, 440.0, 562.0, 18.0], shoonya_1sFV938TKM9WO5, 5690798]
[paragraph, [95.0, 458.0, 562.0, 18.0], shoonya_1sFV938TKM9WO5, 5690798]
[paragraph, [95.0, 476.0, 562.0, 18.0], shoonya_1sFV938TKM9WO5, 5690798]
[paragraph, [95.0, 494.0, 562.0, 18.0], shoonya_1sFV938TKM9WO5, 5690798]
[paragraph, [95.0, 512.0, 562.0, 18.0], shoonya_1sFV938TKM9WO5, 5690798]
[paragraph, [95.0, 530.0, 562.0, 18.0], shoonya_1sFV938TKM9WO5, 5690798]
