[1320, 1176]
[paragraph, [747.0, 70.0, 334.0, 18.0], 4yw5PV5i8S, 5693948]
[paragraph, [747.0, 88.0, 334.0, 18.0], 4yw5PV5i8S, 5693948]
[paragraph, [747.0, 106.0, 334.0, 18.0], 4yw5PV5i8S, 5693948]
[paragraph, [60.0, 73.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 91.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 109.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 127.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 145.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 163.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 181.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 199.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 217.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 235.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 253.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 271.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 289.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 307.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [60.0, 325.0, 353.0, 18.0], Gl39a92qLT, 5693948]
[paragraph, [416.0, 83.0, 331.0, 18.0], sL8J1ni78P, 5693948]
[paragraph, [416.0, 101.0, 331.0, 18.0], sL8J1ni78P, 5693948]
[paragraph, [416.0, 119.0, 331.0, 18.0], sL8J1ni78P, 5693948]
[paragraph, [416.0, 137.0, 331.0, 18.0], sL8J1ni78P, 5693948]
[paragraph, [416.0, 155.0, 331.0, 18.0], sL8J1ni78P, 5693948]
[paragraph, [416.0, 173.0, 331.0, 18.0], sL8J1ni78P, 5693948]
[paragraph, [416.0, 191.0, 331.0, 18.0], sL8J1ni78P, 5693948]
[paragraph, [760.0, 167.0, 328.0, 18.0], c6SrSrMdkZ, 5693948]
[paragraph, [760.0, 185.0, 328.0, 18.0], c6SrSrMdkZ, 5693948]
[paragraph, [760.0, 203.0, 328.0, 18.0], c6SrSrMdkZ, 5693948]
[paragraph, [760.0, 221.0, 328.0, 18.0], c6SrSrMdkZ, 5693948]
[paragraph, [760.0, 239.0, 328.0, 18.0], c6SrSrMdkZ, 5693948]
[paragraph, [760.0, 257.0, 328.0, 18.0], c6SrSrMdkZ, 5693948]
[paragraph, [760.0, 275.0, 328.0, 18.0], c6SrSrMdkZ, 5693948]
[paragraph, [760.0, 293.0, 328.0, 18.0], c6SrSrMdkZ, 5693948]
[paragraph, [760.0, 311.0, 328.0, 18.0], c6SrSrMdkZ, 5693948]
[paragraph, [423.0, 212.0, 325.0, 18.0], kOX9tS9_8p, 5693948]
[paragraph, [423.0, 230.0, 325.0, 18.0], kOX9tS9_8p, 5693948]
[paragraph, [423.0, 248.0, 325.0, 18.0], kOX9tS9_8p, 5693948]
[paragraph, [423.0, 266.0, 325.0, 18.0], kOX9tS9_8p, 5693948]
[paragraph, [419.0, 300.0, 339.0, 18.0], 23XjdQy8Mv, 5693948]
[paragraph, [419.0, 318.0, 339.0, 18.0], 23XjdQy8Mv, 5693948]
[paragraph, [419.0, 336.0, 339.0, 18.0], 23XjdQy8Mv, 5693948]
