[1275, 750]
[folio, [285.0, 87.0, 170.0, 18.0], shoonya_2sS2FIXKW0NW87, 5767319]
[folio, [285.0, 105.0, 170.0, 18.0], shoonya_2sS2FIXKW0NW87, 5767319]
[paragraph, [69.0, 156.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 174.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 192.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 210.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 228.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 246.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 264.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 282.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 300.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 318.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 336.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 354.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 372.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 390.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 408.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 426.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 444.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[paragraph, [69.0, 462.0, 604.0, 18.0], shoonya_0sXMSW3Y2NXTAU, 5767319]
[section-title, [280.0, 503.0, 185.0, 30.0], J2xsL0LD8k, 5767319]
[paragraph, [74.0, 567.0, 603.0, 18.0], w_GDm5cW59, 5767319]
[paragraph, [74.0, 585.0, 603.0, 18.0], w_GDm5cW59, 5767319]
[paragraph, [74.0, 603.0, 603.0, 18.0], w_GDm5cW59, 5767319]
[paragraph, [74.0, 621.0, 603.0, 18.0], w_GDm5cW59, 5767319]
[paragraph, [74.0, 639.0, 603.0, 18.0], w_GDm5cW59, 5767319]
[paragraph, [74.0, 657.0, 603.0, 18.0], w_GDm5cW59, 5767319]
[paragraph, [74.0, 675.0, 603.0, 18.0], w_GDm5cW59, 5767319]
[paragraph, [74.0, 693.0, 603.0, 18.0], w_GDm5cW59, 5767319]
[paragraph, [74.0, 711.0, 603.0, 18.0], w_GDm5cW59, 5767319]
[paragraph, [74.0, 729.0, 603.0, 18.0], w_GDm5cW59, 5767319]
[paragraph, [74.0, 747.0, 603.0, 18.0], w_GDm5cW59, 5767319]
[paragraph, [74.0, 765.0, 603.0, 18.0], w_GDm5cW59, 5767319]
[paragraph, [74.0, 783.0, 603.0, 18.0], w_GDm5cW59, 5767319]
[ordered-list, [81.0, 817.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 835.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 853.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 871.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 889.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 907.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 925.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 943.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 961.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 979.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 997.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 1015.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 1033.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 1051.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 1069.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 1087.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 1105.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 1123.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 1141.0, 600.0, 18.0], hDot0MY0o-, 5767319]
[ordered-list, [81.0, 1159.0, 600.0, 18.0], hDot0MY0o-, 5767319]
