[1951, 1219]
[folio, [798.0, 124.0, 193.0, 36.0], VkZDyHLFSE, 5683270]
[paragraph, [123.0, 214.0, 953.0, 36.0], shoonya_0sXCSM39KK1B27, 5683270]
[paragraph, [123.0, 250.0, 953.0, 36.0], shoonya_0sXCSM39KK1B27, 5683270]
[paragraph, [123.0, 286.0, 953.0, 36.0], shoonya_0sXCSM39KK1B27, 5683270]
[paragraph, [123.0, 322.0, 953.0, 36.0], shoonya_0sXCSM39KK1B27, 5683270]
[paragraph, [123.0, 358.0, 953.0, 36.0], shoonya_0sXCSM39KK1B27, 5683270]
[paragraph, [123.0, 394.0, 953.0, 36.0], shoonya_0sXCSM39KK1B27, 5683270]
[paragraph, [123.0, 430.0, 953.0, 36.0], shoonya_0sXCSM39KK1B27, 5683270]
[paragraph, [123.0, 466.0, 953.0, 36.0], shoonya_0sXCSM39KK1B27, 5683270]
[paragraph, [123.0, 502.0, 953.0, 36.0], shoonya_0sXCSM39KK1B27, 5683270]
[paragraph, [123.0, 538.0, 953.0, 36.0], shoonya_0sXCSM39KK1B27, 5683270]
[paragraph, [123.0, 574.0, 953.0, 36.0], shoonya_0sXCSM39KK1B27, 5683270]
[paragraph, [123.0, 610.0, 953.0, 36.0], shoonya_0sXCSM39KK1B27, 5683270]
[paragraph, [121.0, 680.0, 958.0, 36.0], t5z-O1xm8A, 5683270]
[paragraph, [121.0, 716.0, 958.0, 36.0], t5z-O1xm8A, 5683270]
[paragraph, [121.0, 752.0, 958.0, 36.0], t5z-O1xm8A, 5683270]
[paragraph, [126.0, 795.0, 952.0, 36.0], gVC6smIfBW, 5683270]
[paragraph, [126.0, 831.0, 952.0, 36.0], gVC6smIfBW, 5683270]
[paragraph, [126.0, 867.0, 952.0, 36.0], gVC6smIfBW, 5683270]
[paragraph, [126.0, 903.0, 952.0, 36.0], gVC6smIfBW, 5683270]
[paragraph, [126.0, 939.0, 952.0, 36.0], gVC6smIfBW, 5683270]
[paragraph, [126.0, 975.0, 952.0, 36.0], gVC6smIfBW, 5683270]
[paragraph, [132.0, 1025.0, 953.0, 36.0], EVksuqYLjv, 5683270]
[paragraph, [132.0, 1061.0, 953.0, 36.0], EVksuqYLjv, 5683270]
[paragraph, [132.0, 1097.0, 953.0, 36.0], EVksuqYLjv, 5683270]
[paragraph, [132.0, 1133.0, 953.0, 36.0], EVksuqYLjv, 5683270]
[paragraph, [132.0, 1169.0, 953.0, 36.0], EVksuqYLjv, 5683270]
[paragraph, [132.0, 1205.0, 953.0, 36.0], EVksuqYLjv, 5683270]
[paragraph, [132.0, 1241.0, 953.0, 36.0], EVksuqYLjv, 5683270]
[paragraph, [132.0, 1277.0, 953.0, 36.0], EVksuqYLjv, 5683270]
[paragraph, [132.0, 1313.0, 953.0, 36.0], EVksuqYLjv, 5683270]
[paragraph, [132.0, 1349.0, 953.0, 36.0], EVksuqYLjv, 5683270]
[paragraph, [132.0, 1385.0, 953.0, 36.0], EVksuqYLjv, 5683270]
[paragraph, [132.0, 1421.0, 953.0, 36.0], EVksuqYLjv, 5683270]
[paragraph, [129.0, 1488.0, 958.0, 36.0], 7apUq_78NW, 5683270]
[paragraph, [129.0, 1524.0, 958.0, 36.0], 7apUq_78NW, 5683270]
[paragraph, [129.0, 1560.0, 958.0, 36.0], 7apUq_78NW, 5683270]
[paragraph, [129.0, 1596.0, 958.0, 36.0], 7apUq_78NW, 5683270]
[paragraph, [129.0, 1632.0, 958.0, 36.0], 7apUq_78NW, 5683270]
[paragraph, [129.0, 1668.0, 958.0, 36.0], 7apUq_78NW, 5683270]
[paragraph, [129.0, 1704.0, 958.0, 36.0], 7apUq_78NW, 5683270]
[paragraph, [169.0, 1777.0, 897.0, 36.0], EiyKR_9rbM, 5683270]
