[2200, 1700]
[paragraph, [256.0, 845.0, 999.0, 36.0], shoonya_2sUPBWQYRBGO14, 5651458]
[paragraph, [256.0, 881.0, 999.0, 36.0], shoonya_2sUPBWQYRBGO14, 5651458]
[paragraph, [256.0, 917.0, 999.0, 36.0], shoonya_2sUPBWQYRBGO14, 5651458]
[paragraph, [256.0, 953.0, 999.0, 36.0], shoonya_2sUPBWQYRBGO14, 5651458]
[paragraph, [256.0, 989.0, 999.0, 36.0], shoonya_2sUPBWQYRBGO14, 5651458]
[paragraph, [256.0, 1025.0, 999.0, 36.0], shoonya_2sUPBWQYRBGO14, 5651458]
[paragraph, [256.0, 1061.0, 999.0, 36.0], shoonya_2sUPBWQYRBGO14, 5651458]
[paragraph, [256.0, 1097.0, 999.0, 36.0], shoonya_2sUPBWQYRBGO14, 5651458]
[paragraph, [256.0, 1133.0, 999.0, 36.0], shoonya_2sUPBWQYRBGO14, 5651458]
[paragraph, [256.0, 1169.0, 999.0, 36.0], shoonya_2sUPBWQYRBGO14, 5651458]
[paragraph, [251.0, 1215.0, 993.0, 36.0], shoonya_0sOXK8INMH8G5C, 5651458]
[paragraph, [251.0, 1251.0, 993.0, 36.0], shoonya_0sOXK8INMH8G5C, 5651458]
[paragraph, [251.0, 1287.0, 993.0, 36.0], shoonya_0sOXK8INMH8G5C, 5651458]
[paragraph, [251.0, 1323.0, 993.0, 36.0], shoonya_0sOXK8INMH8G5C, 5651458]
[paragraph, [251.0, 1359.0, 993.0, 36.0], shoonya_0sOXK8INMH8G5C, 5651458]
[paragraph, [251.0, 1395.0, 993.0, 36.0], shoonya_0sOXK8INMH8G5C, 5651458]
[paragraph, [251.0, 1431.0, 993.0, 36.0], shoonya_0sOXK8INMH8G5C, 5651458]
[paragraph, [251.0, 1467.0, 993.0, 36.0], shoonya_0sOXK8INMH8G5C, 5651458]
[paragraph, [251.0, 1503.0, 993.0, 36.0], shoonya_0sOXK8INMH8G5C, 5651458]
[paragraph, [251.0, 1539.0, 993.0, 36.0], shoonya_0sOXK8INMH8G5C, 5651458]
[paragraph, [251.0, 1575.0, 993.0, 36.0], shoonya_0sOXK8INMH8G5C, 5651458]
[paragraph, [250.0, 1637.0, 994.0, 36.0], shoonya_1sY5SI7B3UC3U2, 5651458]
[paragraph, [250.0, 1673.0, 994.0, 36.0], shoonya_1sY5SI7B3UC3U2, 5651458]
[paragraph, [250.0, 1709.0, 994.0, 36.0], shoonya_1sY5SI7B3UC3U2, 5651458]
[paragraph, [250.0, 1745.0, 994.0, 36.0], shoonya_1sY5SI7B3UC3U2, 5651458]
[paragraph, [250.0, 1781.0, 994.0, 36.0], shoonya_1sY5SI7B3UC3U2, 5651458]
[paragraph, [250.0, 1817.0, 994.0, 36.0], shoonya_1sY5SI7B3UC3U2, 5651458]
[folio, [318.0, 1910.0, 108.0, 36.0], dfWJQc3kBl, 5651458]
