[1350, 900]
[paragraph, [171.0, 239.0, 567.0, 18.0], shoonya_2s324NVBNIHWJV, 5760327]
[paragraph, [171.0, 257.0, 567.0, 18.0], shoonya_2s324NVBNIHWJV, 5760327]
[paragraph, [171.0, 275.0, 567.0, 18.0], shoonya_2s324NVBNIHWJV, 5760327]
[paragraph, [171.0, 293.0, 567.0, 18.0], shoonya_2s324NVBNIHWJV, 5760327]
[paragraph, [171.0, 311.0, 567.0, 18.0], shoonya_2s324NVBNIHWJV, 5760327]
[paragraph, [171.0, 329.0, 567.0, 18.0], shoonya_2s324NVBNIHWJV, 5760327]
[paragraph, [176.0, 372.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 390.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 408.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 426.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 444.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 462.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 480.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 498.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 516.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 534.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 552.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 570.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 588.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 606.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 624.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 642.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 660.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 678.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 696.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 714.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 732.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 750.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 768.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [176.0, 786.0, 560.0, 18.0], shoonya_0sJMAIJQLM6SC6, 5760327]
[paragraph, [178.0, 827.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 845.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 863.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 881.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 899.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 917.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 935.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 953.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 971.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 989.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 1007.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 1025.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 1043.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 1061.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 1079.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
[paragraph, [178.0, 1097.0, 559.0, 18.0], shoonya_3s0ZG2LYYJJJN5, 5760327]
