[1565, 1152]
[paragraph, [423.0, 115.0, 301.0, 36.0], shoonya_4sY9JATYWBLPNT, 5712972]
[paragraph, [423.0, 151.0, 301.0, 36.0], shoonya_4sY9JATYWBLPNT, 5712972]
[paragraph, [423.0, 187.0, 301.0, 36.0], shoonya_4sY9JATYWBLPNT, 5712972]
[paragraph, [736.0, 121.0, 303.0, 36.0], shoonya_1sKTOFP9GHXBOW, 5712972]
[paragraph, [736.0, 157.0, 303.0, 36.0], shoonya_1sKTOFP9GHXBOW, 5712972]
[paragraph, [736.0, 193.0, 303.0, 36.0], shoonya_1sKTOFP9GHXBOW, 5712972]
[paragraph, [736.0, 229.0, 303.0, 36.0], shoonya_1sKTOFP9GHXBOW, 5712972]
[paragraph, [736.0, 265.0, 303.0, 36.0], shoonya_1sKTOFP9GHXBOW, 5712972]
[paragraph, [736.0, 301.0, 303.0, 36.0], shoonya_1sKTOFP9GHXBOW, 5712972]
[paragraph, [736.0, 337.0, 303.0, 36.0], shoonya_1sKTOFP9GHXBOW, 5712972]
[paragraph, [98.0, 124.0, 324.0, 36.0], shoonya_8sXUA0UUNZ4O43, 5712972]
[paragraph, [98.0, 160.0, 324.0, 36.0], shoonya_8sXUA0UUNZ4O43, 5712972]
[paragraph, [96.0, 214.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 250.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 286.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 322.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 358.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 394.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 430.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 466.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 502.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 538.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 574.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 610.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 646.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 682.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 718.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 754.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 790.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 826.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 862.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 898.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 934.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 970.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 1006.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 1042.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 1078.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 1114.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 1150.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 1186.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 1222.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 1258.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [96.0, 1294.0, 323.0, 36.0], shoonya_9sVKYBZFAU0CSX, 5712972]
[paragraph, [425.0, 237.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 273.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 309.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 345.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 381.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 417.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 453.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 489.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 525.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 561.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 597.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 633.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 669.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 705.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [425.0, 741.0, 305.0, 36.0], shoonya_3sYG4D47NZN87S, 5712972]
[paragraph, [730.0, 397.0, 317.0, 36.0], shoonya_2sMWK7QLGTQJ3C, 5712972]
[paragraph, [730.0, 433.0, 317.0, 36.0], shoonya_2sMWK7QLGTQJ3C, 5712972]
[paragraph, [730.0, 469.0, 317.0, 36.0], shoonya_2sMWK7QLGTQJ3C, 5712972]
[paragraph, [730.0, 505.0, 317.0, 36.0], shoonya_2sMWK7QLGTQJ3C, 5712972]
[paragraph, [730.0, 541.0, 317.0, 36.0], shoonya_2sMWK7QLGTQJ3C, 5712972]
[paragraph, [730.0, 577.0, 317.0, 36.0], shoonya_2sMWK7QLGTQJ3C, 5712972]
[paragraph, [732.0, 639.0, 321.0, 36.0], shoonya_0s86F43I31TPO3, 5712972]
[paragraph, [732.0, 675.0, 321.0, 36.0], shoonya_0s86F43I31TPO3, 5712972]
[paragraph, [732.0, 711.0, 321.0, 36.0], shoonya_0s86F43I31TPO3, 5712972]
[paragraph, [732.0, 747.0, 321.0, 36.0], shoonya_0s86F43I31TPO3, 5712972]
[paragraph, [732.0, 783.0, 321.0, 36.0], shoonya_0s86F43I31TPO3, 5712972]
[paragraph, [732.0, 819.0, 321.0, 36.0], shoonya_0s86F43I31TPO3, 5712972]
[paragraph, [732.0, 855.0, 321.0, 36.0], shoonya_0s86F43I31TPO3, 5712972]
