[2200, 1700]
[paragraph, [134.0, 202.0, 685.0, 36.0], SJxBxOpFO8, 5753068]
[paragraph, [134.0, 238.0, 685.0, 36.0], SJxBxOpFO8, 5753068]
[paragraph, [134.0, 274.0, 685.0, 36.0], SJxBxOpFO8, 5753068]
[paragraph, [887.0, 204.0, 680.0, 36.0], oWdIkc5As1, 5753068]
[paragraph, [887.0, 240.0, 680.0, 36.0], oWdIkc5As1, 5753068]
[paragraph, [887.0, 276.0, 680.0, 36.0], oWdIkc5As1, 5753068]
[paragraph, [887.0, 312.0, 680.0, 36.0], oWdIkc5As1, 5753068]
[paragraph, [129.0, 336.0, 678.0, 36.0], HuRPNLHZo2, 5753068]
[paragraph, [129.0, 372.0, 678.0, 36.0], HuRPNLHZo2, 5753068]
[paragraph, [129.0, 408.0, 678.0, 36.0], HuRPNLHZo2, 5753068]
[paragraph, [129.0, 444.0, 678.0, 36.0], HuRPNLHZo2, 5753068]
[paragraph, [895.0, 391.0, 661.0, 36.0], KV369pTknM, 5753068]
[paragraph, [895.0, 427.0, 661.0, 36.0], KV369pTknM, 5753068]
[paragraph, [895.0, 463.0, 661.0, 36.0], KV369pTknM, 5753068]
[paragraph, [902.0, 536.0, 652.0, 36.0], shoonya_8sU9O9I9U8BBSU, 5753068]
[paragraph, [902.0, 572.0, 652.0, 36.0], shoonya_8sU9O9I9U8BBSU, 5753068]
[paragraph, [146.0, 537.0, 431.0, 36.0], shoonya_15sAOA2H6XIH3Y, 5753068]
[paragraph, [141.0, 628.0, 656.0, 36.0], shoonya_13s6BIXWCTVNO4, 5753068]
[paragraph, [141.0, 664.0, 656.0, 36.0], shoonya_13s6BIXWCTVNO4, 5753068]
[paragraph, [141.0, 700.0, 656.0, 36.0], shoonya_13s6BIXWCTVNO4, 5753068]
[paragraph, [900.0, 676.0, 659.0, 36.0], shoonya_2sB4332T9KH3VR, 5753068]
[paragraph, [900.0, 712.0, 659.0, 36.0], shoonya_2sB4332T9KH3VR, 5753068]
[paragraph, [900.0, 748.0, 659.0, 36.0], shoonya_2sB4332T9KH3VR, 5753068]
[paragraph, [900.0, 784.0, 659.0, 36.0], shoonya_2sB4332T9KH3VR, 5753068]
[paragraph, [900.0, 820.0, 659.0, 36.0], shoonya_2sB4332T9KH3VR, 5753068]
[paragraph, [143.0, 815.0, 654.0, 36.0], shoonya_11s5E3QFJ7EL6Z, 5753068]
[paragraph, [143.0, 851.0, 654.0, 36.0], shoonya_11s5E3QFJ7EL6Z, 5753068]
[paragraph, [904.0, 910.0, 575.0, 36.0], shoonya_3s9B69TNR7XMQN, 5753068]
[paragraph, [143.0, 956.0, 654.0, 36.0], shoonya_7s6E3FVOKT4Q2Q, 5753068]
[paragraph, [143.0, 992.0, 654.0, 36.0], shoonya_7s6E3FVOKT4Q2Q, 5753068]
[paragraph, [143.0, 1028.0, 654.0, 36.0], shoonya_7s6E3FVOKT4Q2Q, 5753068]
[paragraph, [143.0, 1064.0, 654.0, 36.0], shoonya_7s6E3FVOKT4Q2Q, 5753068]
[paragraph, [143.0, 1100.0, 654.0, 36.0], shoonya_7s6E3FVOKT4Q2Q, 5753068]
[paragraph, [882.0, 993.0, 691.0, 36.0], vG12rXZiIk, 5753068]
[paragraph, [882.0, 1029.0, 691.0, 36.0], vG12rXZiIk, 5753068]
[paragraph, [882.0, 1065.0, 691.0, 36.0], vG12rXZiIk, 5753068]
[paragraph, [899.0, 1142.0, 659.0, 36.0], shoonya_1sTBRNCAAAJOZJ, 5753068]
[paragraph, [899.0, 1178.0, 659.0, 36.0], shoonya_1sTBRNCAAAJOZJ, 5753068]
[paragraph, [134.0, 1178.0, 676.0, 36.0], kUWDwbbDhR, 5753068]
[paragraph, [134.0, 1214.0, 676.0, 36.0], kUWDwbbDhR, 5753068]
[paragraph, [134.0, 1250.0, 676.0, 36.0], kUWDwbbDhR, 5753068]
[paragraph, [903.0, 1282.0, 297.0, 36.0], shoonya_6sSDOY0VGCAF4D, 5753068]
[paragraph, [144.0, 1329.0, 436.0, 36.0], shoonya_5sAW9OLL6JV2V2, 5753068]
[paragraph, [904.0, 1376.0, 607.0, 36.0], shoonya_14sDIFLIKDKP7X, 5753068]
[paragraph, [129.0, 1410.0, 685.0, 36.0], cyoIH8OXV3, 5753068]
[paragraph, [129.0, 1446.0, 685.0, 36.0], cyoIH8OXV3, 5753068]
[paragraph, [129.0, 1482.0, 685.0, 36.0], cyoIH8OXV3, 5753068]
[paragraph, [891.0, 1455.0, 682.0, 36.0], hQzuA9Xw6B, 5753068]
[paragraph, [891.0, 1491.0, 682.0, 36.0], hQzuA9Xw6B, 5753068]
[paragraph, [891.0, 1527.0, 682.0, 36.0], hQzuA9Xw6B, 5753068]
[paragraph, [137.0, 1564.0, 663.0, 36.0], shoonya_12s1SXJ2IGGG9T, 5753068]
[paragraph, [137.0, 1600.0, 663.0, 36.0], shoonya_12s1SXJ2IGGG9T, 5753068]
[paragraph, [137.0, 1636.0, 663.0, 36.0], shoonya_12s1SXJ2IGGG9T, 5753068]
[paragraph, [895.0, 1591.0, 582.0, 36.0], 92THGJXivO, 5753068]
[paragraph, [895.0, 1627.0, 582.0, 36.0], 92THGJXivO, 5753068]
[paragraph, [900.0, 1704.0, 659.0, 36.0], shoonya_4s38KMYN5CND39, 5753068]
[paragraph, [900.0, 1740.0, 659.0, 36.0], shoonya_4s38KMYN5CND39, 5753068]
[paragraph, [900.0, 1776.0, 659.0, 36.0], shoonya_4s38KMYN5CND39, 5753068]
[paragraph, [900.0, 1812.0, 659.0, 36.0], shoonya_4s38KMYN5CND39, 5753068]
[paragraph, [900.0, 1848.0, 659.0, 36.0], shoonya_4s38KMYN5CND39, 5753068]
[paragraph, [129.0, 1734.0, 680.0, 36.0], jTjvZl9Tec, 5753068]
[paragraph, [129.0, 1770.0, 680.0, 36.0], jTjvZl9Tec, 5753068]
