[720, 540]
[chapter-title, [170.0, 166.0, 180.0, 30.0], shoonya_2s20ETQ8R8CIPE, 6495178]
[paragraph, [58.0, 208.0, 403.0, 18.0], shoonya_3sHR4H1WU1A3CQ, 6495178]
[paragraph, [58.0, 226.0, 403.0, 18.0], shoonya_3sHR4H1WU1A3CQ, 6495178]
[paragraph, [58.0, 244.0, 403.0, 18.0], shoonya_3sHR4H1WU1A3CQ, 6495178]
[paragraph, [58.0, 262.0, 403.0, 18.0], shoonya_3sHR4H1WU1A3CQ, 6495178]
[paragraph, [58.0, 280.0, 403.0, 18.0], shoonya_3sHR4H1WU1A3CQ, 6495178]
[paragraph, [58.0, 298.0, 403.0, 18.0], shoonya_3sHR4H1WU1A3CQ, 6495178]
[paragraph, [59.0, 322.0, 401.0, 18.0], shoonya_1s9IDG3WJ7H73S, 6495178]
[paragraph, [59.0, 340.0, 401.0, 18.0], shoonya_1s9IDG3WJ7H73S, 6495178]
[paragraph, [59.0, 373.0, 401.0, 18.0], shoonya_0sQ65M3O87F6KV, 6495178]
[paragraph, [59.0, 391.0, 401.0, 18.0], shoonya_0sQ65M3O87F6KV, 6495178]
[paragraph, [59.0, 409.0, 401.0, 18.0], shoonya_0sQ65M3O87F6KV, 6495178]
[paragraph, [59.0, 427.0, 401.0, 18.0], shoonya_0sQ65M3O87F6KV, 6495178]
[paragraph, [59.0, 445.0, 401.0, 18.0], shoonya_0sQ65M3O87F6KV, 6495178]
[paragraph, [59.0, 463.0, 401.0, 18.0], shoonya_0sQ65M3O87F6KV, 6495178]
[paragraph, [59.0, 481.0, 401.0, 18.0], shoonya_0sQ65M3O87F6KV, 6495178]
[paragraph, [57.0, 499.0, 404.0, 18.0], WiDxswBYN4, 6495178]
[paragraph, [57.0, 517.0, 404.0, 18.0], WiDxswBYN4, 6495178]
[paragraph, [57.0, 535.0, 404.0, 18.0], WiDxswBYN4, 6495178]
[paragraph, [57.0, 553.0, 404.0, 18.0], WiDxswBYN4, 6495178]
[paragraph, [57.0, 571.0, 404.0, 18.0], WiDxswBYN4, 6495178]
[paragraph, [57.0, 589.0, 404.0, 18.0], WiDxswBYN4, 6495178]
[paragraph, [57.0, 607.0, 404.0, 18.0], WiDxswBYN4, 6495178]
