[2339, 1656]
[paragraph, [121.0, 39.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 75.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 111.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 147.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 183.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 219.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 255.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 291.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 327.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 363.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 399.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 435.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 471.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 507.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 543.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 579.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 615.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 651.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 687.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 723.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [121.0, 759.0, 707.0, 36.0], shoonya_0s1XIXWPG66GLB, 5749925]
[paragraph, [860.0, 50.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 86.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 122.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 158.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 194.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 230.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 266.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 302.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 338.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 374.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 410.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 446.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 482.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 518.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 554.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 590.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 626.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 662.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 698.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 734.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 770.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 806.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 842.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 878.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
[paragraph, [860.0, 914.0, 702.0, 36.0], shoonya_2sZMQ40ML42DTA, 5749925]
