[1755, 1240]
[folio, [637.0, 74.0, 490.0, 36.0], DilYKs4rUV, 5743867]
[paragraph, [199.0, 554.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 590.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 626.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 662.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 698.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 734.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 770.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 806.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 842.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 878.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 914.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 950.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 986.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1022.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1058.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1094.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1130.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1166.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1202.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1238.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1274.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1310.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1346.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1382.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1418.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1454.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1490.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
[paragraph, [199.0, 1526.0, 922.0, 36.0], shoonya_2s9Q47VGZIOWQY, 5743867]
