[872, 605]
[folio, [438.0, 35.0, 112.0, 18.0], _45sd3n0jA, 6456753]
[paragraph, [52.0, 78.0, 246.0, 18.0], uiDzln4pP1, 6456753]
[paragraph, [52.0, 96.0, 246.0, 18.0], uiDzln4pP1, 6456753]
[paragraph, [302.0, 78.0, 246.0, 18.0], zr6jbhP_f7, 6456753]
[paragraph, [302.0, 96.0, 246.0, 18.0], zr6jbhP_f7, 6456753]
[paragraph, [52.0, 116.0, 235.0, 18.0], Z01DnXHMjn, 6456753]
[paragraph, [313.0, 116.0, 195.0, 18.0], WvMHKpiYEr, 6456753]
[paragraph, [52.0, 135.0, 212.0, 18.0], z-iVHVBUck, 6456753]
[paragraph, [302.0, 136.0, 234.0, 18.0], oyP8au_buY, 6456753]
[paragraph, [302.0, 154.0, 234.0, 18.0], oyP8au_buY, 6456753]
[paragraph, [54.0, 154.0, 246.0, 18.0], yM4PgS7lo0, 6456753]
[paragraph, [54.0, 172.0, 246.0, 18.0], yM4PgS7lo0, 6456753]
[paragraph, [54.0, 190.0, 246.0, 18.0], yM4PgS7lo0, 6456753]
[paragraph, [54.0, 208.0, 246.0, 18.0], yM4PgS7lo0, 6456753]
[paragraph, [54.0, 226.0, 246.0, 18.0], yM4PgS7lo0, 6456753]
[paragraph, [302.0, 175.0, 198.0, 18.0], crldb3cijr, 6456753]
[paragraph, [300.0, 194.0, 248.0, 18.0], LPZ32wRhFe, 6456753]
[paragraph, [300.0, 212.0, 248.0, 18.0], LPZ32wRhFe, 6456753]
[paragraph, [300.0, 230.0, 248.0, 18.0], LPZ32wRhFe, 6456753]
[paragraph, [50.0, 242.0, 250.0, 18.0], _U3nNjP_Yh, 6456753]
[paragraph, [50.0, 260.0, 250.0, 18.0], _U3nNjP_Yh, 6456753]
[paragraph, [50.0, 278.0, 250.0, 18.0], _U3nNjP_Yh, 6456753]
[paragraph, [50.0, 296.0, 250.0, 18.0], _U3nNjP_Yh, 6456753]
[paragraph, [50.0, 314.0, 250.0, 18.0], _U3nNjP_Yh, 6456753]
[paragraph, [50.0, 332.0, 250.0, 18.0], _U3nNjP_Yh, 6456753]
[paragraph, [317.0, 248.0, 187.0, 18.0], j98chQ0Htg, 6456753]
[paragraph, [315.0, 272.0, 183.0, 18.0], EM5kSnP8NY, 6456753]
[paragraph, [302.0, 293.0, 249.0, 18.0], qhoyjI6E3_, 6456753]
[paragraph, [302.0, 310.0, 248.0, 18.0], gGgRtotVQB, 6456753]
[paragraph, [302.0, 328.0, 248.0, 18.0], gGgRtotVQB, 6456753]
[paragraph, [300.0, 346.0, 238.0, 18.0], kqL9fnzJ2a, 6456753]
[paragraph, [300.0, 364.0, 238.0, 18.0], kqL9fnzJ2a, 6456753]
[paragraph, [66.0, 350.0, 192.0, 18.0], WvL0vmKT45, 6456753]
[paragraph, [53.0, 369.0, 249.0, 18.0], ouo5JmL1GG, 6456753]
[paragraph, [301.0, 384.0, 230.0, 18.0], OfG8TIccNZ, 6456753]
[paragraph, [301.0, 402.0, 230.0, 18.0], OfG8TIccNZ, 6456753]
[paragraph, [51.0, 385.0, 248.0, 18.0], _zViZtLvMF, 6456753]
[paragraph, [50.0, 419.0, 250.0, 18.0], cBFfiFLekc, 6456753]
[paragraph, [301.0, 419.0, 239.0, 18.0], PLX_hMIdEj, 6456753]
[paragraph, [301.0, 437.0, 239.0, 18.0], PLX_hMIdEj, 6456753]
[paragraph, [49.0, 437.0, 250.0, 18.0], Hw-N-ssyFA, 6456753]
[paragraph, [49.0, 455.0, 250.0, 18.0], Hw-N-ssyFA, 6456753]
[paragraph, [49.0, 473.0, 250.0, 18.0], Hw-N-ssyFA, 6456753]
[paragraph, [49.0, 491.0, 250.0, 18.0], Hw-N-ssyFA, 6456753]
[paragraph, [49.0, 509.0, 250.0, 18.0], Hw-N-ssyFA, 6456753]
[paragraph, [49.0, 527.0, 250.0, 18.0], Hw-N-ssyFA, 6456753]
[paragraph, [49.0, 545.0, 250.0, 18.0], Hw-N-ssyFA, 6456753]
[paragraph, [49.0, 563.0, 250.0, 18.0], Hw-N-ssyFA, 6456753]
[paragraph, [302.0, 456.0, 212.0, 18.0], 2kDKNrEc-P, 6456753]
[paragraph, [302.0, 478.0, 252.0, 18.0], cJH5KaA8WZ, 6456753]
[paragraph, [302.0, 496.0, 252.0, 18.0], cJH5KaA8WZ, 6456753]
[paragraph, [302.0, 514.0, 252.0, 18.0], cJH5KaA8WZ, 6456753]
[paragraph, [302.0, 532.0, 252.0, 18.0], cJH5KaA8WZ, 6456753]
[paragraph, [302.0, 550.0, 252.0, 18.0], cJH5KaA8WZ, 6456753]
[paragraph, [302.0, 568.0, 252.0, 18.0], cJH5KaA8WZ, 6456753]
[paragraph, [302.0, 586.0, 252.0, 18.0], cJH5KaA8WZ, 6456753]
[paragraph, [302.0, 604.0, 252.0, 18.0], cJH5KaA8WZ, 6456753]
[paragraph, [302.0, 622.0, 252.0, 18.0], cJH5KaA8WZ, 6456753]
[paragraph, [53.0, 593.0, 249.0, 18.0], xOCl9_c8eO, 6456753]
[paragraph, [53.0, 611.0, 249.0, 18.0], xOCl9_c8eO, 6456753]
[paragraph, [53.0, 629.0, 249.0, 18.0], xOCl9_c8eO, 6456753]
[paragraph, [53.0, 647.0, 249.0, 18.0], xOCl9_c8eO, 6456753]
[reference, [302.0, 658.0, 249.0, 18.0], WkwqZ3-saD, 6456753]
[reference, [302.0, 676.0, 249.0, 18.0], WkwqZ3-saD, 6456753]
[reference, [302.0, 694.0, 249.0, 18.0], WkwqZ3-saD, 6456753]
[reference, [302.0, 712.0, 249.0, 18.0], WkwqZ3-saD, 6456753]
[reference, [302.0, 730.0, 249.0, 18.0], WkwqZ3-saD, 6456753]
[reference, [302.0, 748.0, 249.0, 18.0], WkwqZ3-saD, 6456753]
[reference, [302.0, 766.0, 249.0, 18.0], WkwqZ3-saD, 6456753]
[reference, [302.0, 784.0, 249.0, 18.0], WkwqZ3-saD, 6456753]
[reference, [302.0, 802.0, 249.0, 18.0], WkwqZ3-saD, 6456753]
[paragraph, [52.0, 682.0, 249.0, 18.0], JCNtqhI0AQ, 6456753]
[paragraph, [53.0, 701.0, 244.0, 18.0], dgARiBDZ1A, 6456753]
[paragraph, [53.0, 719.0, 244.0, 18.0], dgARiBDZ1A, 6456753]
[reference, [52.0, 744.0, 251.0, 18.0], FiDNJzKN4P, 6456753]
[reference, [52.0, 762.0, 251.0, 18.0], FiDNJzKN4P, 6456753]
[reference, [52.0, 780.0, 251.0, 18.0], FiDNJzKN4P, 6456753]
[reference, [52.0, 798.0, 251.0, 18.0], FiDNJzKN4P, 6456753]
