[612, 396]
[paragraph, [36.0, 60.0, 323.0, 18.0], shoonya_0s0YB8YDEDH736, 6517482]
[paragraph, [36.0, 78.0, 323.0, 18.0], shoonya_0s0YB8YDEDH736, 6517482]
[paragraph, [36.0, 96.0, 323.0, 18.0], shoonya_0s0YB8YDEDH736, 6517482]
[paragraph, [36.0, 132.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [36.0, 150.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [36.0, 168.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [36.0, 186.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [36.0, 204.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [36.0, 222.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [36.0, 240.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [36.0, 258.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [36.0, 276.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [36.0, 294.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [36.0, 312.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [36.0, 330.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [36.0, 348.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [36.0, 366.0, 324.0, 18.0], FI3MOzx26V, 6517482]
[paragraph, [37.0, 388.0, 320.0, 18.0], M9KADO-IW_, 6517482]
[paragraph, [37.0, 406.0, 320.0, 18.0], M9KADO-IW_, 6517482]
[paragraph, [37.0, 424.0, 320.0, 18.0], M9KADO-IW_, 6517482]
[paragraph, [37.0, 442.0, 320.0, 18.0], M9KADO-IW_, 6517482]
[paragraph, [37.0, 460.0, 320.0, 18.0], M9KADO-IW_, 6517482]
[paragraph, [37.0, 478.0, 320.0, 18.0], M9KADO-IW_, 6517482]
[paragraph, [37.0, 496.0, 320.0, 18.0], M9KADO-IW_, 6517482]
[paragraph, [37.0, 514.0, 320.0, 18.0], M9KADO-IW_, 6517482]
[paragraph, [37.0, 532.0, 320.0, 18.0], M9KADO-IW_, 6517482]
[paragraph, [37.0, 550.0, 320.0, 18.0], M9KADO-IW_, 6517482]
