[1225, 1650]
[paragraph, [575.0, 18.0, 518.0, 18.0], shoonya_5sLAS6WZ50RDK9, 5725740]
[paragraph, [575.0, 36.0, 518.0, 18.0], shoonya_5sLAS6WZ50RDK9, 5725740]
[paragraph, [575.0, 54.0, 518.0, 18.0], shoonya_5sLAS6WZ50RDK9, 5725740]
[paragraph, [575.0, 72.0, 518.0, 18.0], shoonya_5sLAS6WZ50RDK9, 5725740]
[paragraph, [575.0, 90.0, 518.0, 18.0], shoonya_5sLAS6WZ50RDK9, 5725740]
[paragraph, [575.0, 108.0, 518.0, 18.0], shoonya_5sLAS6WZ50RDK9, 5725740]
[paragraph, [575.0, 126.0, 518.0, 18.0], shoonya_5sLAS6WZ50RDK9, 5725740]
[paragraph, [575.0, 144.0, 518.0, 18.0], shoonya_5sLAS6WZ50RDK9, 5725740]
[paragraph, [575.0, 162.0, 518.0, 18.0], shoonya_5sLAS6WZ50RDK9, 5725740]
[paragraph, [575.0, 180.0, 518.0, 18.0], shoonya_5sLAS6WZ50RDK9, 5725740]
[paragraph, [575.0, 198.0, 518.0, 18.0], shoonya_5sLAS6WZ50RDK9, 5725740]
[paragraph, [575.0, 216.0, 518.0, 18.0], shoonya_5sLAS6WZ50RDK9, 5725740]
[paragraph, [575.0, 234.0, 518.0, 18.0], shoonya_5sLAS6WZ50RDK9, 5725740]
[paragraph, [1128.0, 28.0, 512.0, 18.0], shoonya_9sUKOUX0W5W3Y0, 5725740]
[paragraph, [1128.0, 46.0, 512.0, 18.0], shoonya_9sUKOUX0W5W3Y0, 5725740]
[paragraph, [1128.0, 64.0, 512.0, 18.0], shoonya_9sUKOUX0W5W3Y0, 5725740]
[paragraph, [1128.0, 82.0, 512.0, 18.0], shoonya_9sUKOUX0W5W3Y0, 5725740]
[paragraph, [1128.0, 100.0, 512.0, 18.0], shoonya_9sUKOUX0W5W3Y0, 5725740]
[paragraph, [1128.0, 118.0, 512.0, 18.0], shoonya_9sUKOUX0W5W3Y0, 5725740]
[paragraph, [1128.0, 136.0, 512.0, 18.0], shoonya_9sUKOUX0W5W3Y0, 5725740]
[paragraph, [1128.0, 154.0, 512.0, 18.0], shoonya_9sUKOUX0W5W3Y0, 5725740]
[paragraph, [1128.0, 172.0, 512.0, 18.0], shoonya_9sUKOUX0W5W3Y0, 5725740]
[paragraph, [1128.0, 190.0, 512.0, 18.0], shoonya_9sUKOUX0W5W3Y0, 5725740]
[paragraph, [1128.0, 208.0, 512.0, 18.0], shoonya_9sUKOUX0W5W3Y0, 5725740]
[paragraph, [1128.0, 226.0, 512.0, 18.0], shoonya_9sUKOUX0W5W3Y0, 5725740]
[paragraph, [1128.0, 244.0, 512.0, 18.0], shoonya_9sUKOUX0W5W3Y0, 5725740]
[section-title, [115.0, 86.0, 290.0, 30.0], shoonya_10sE360G1UZJE8, 5725740]
[section-title, [115.0, 116.0, 290.0, 30.0], shoonya_10sE360G1UZJE8, 5725740]
[section-title, [115.0, 146.0, 290.0, 30.0], shoonya_10sE360G1UZJE8, 5725740]
[paragraph, [577.0, 251.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 269.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 287.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 305.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 323.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 341.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 359.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 377.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 395.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 413.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 431.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 449.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 467.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 485.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 503.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 521.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 539.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [577.0, 557.0, 515.0, 18.0], 1HCA7Q6ASN, 5725740]
[paragraph, [12.0, 264.0, 531.0, 18.0], shoonya_2sOQFMYKKQB9Z7, 5725740]
[paragraph, [12.0, 282.0, 531.0, 18.0], shoonya_2sOQFMYKKQB9Z7, 5725740]
[paragraph, [12.0, 300.0, 531.0, 18.0], shoonya_2sOQFMYKKQB9Z7, 5725740]
[paragraph, [12.0, 318.0, 531.0, 18.0], shoonya_2sOQFMYKKQB9Z7, 5725740]
[paragraph, [12.0, 336.0, 531.0, 18.0], shoonya_2sOQFMYKKQB9Z7, 5725740]
