[792, 612]
[website-link, [233.0, 13.0, 151.0, 18.0], yDiT05eI62, 5750312]
[section-title, [175.0, 239.0, 259.0, 30.0], shoonya_1s952WJC0E3Y7Y, 5750312]
[section-title, [175.0, 269.0, 259.0, 30.0], shoonya_1s952WJC0E3Y7Y, 5750312]
[sidebar, [53.0, 349.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 367.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 385.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 403.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 421.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 439.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 457.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 475.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 493.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 511.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 529.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 547.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 565.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 583.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 601.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 619.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[sidebar, [53.0, 637.0, 116.0, 18.0], cNtvzno_sR, 5750312]
[paragraph, [169.0, 355.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 373.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 391.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 409.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 427.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 445.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 463.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 481.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 499.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 517.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 535.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 553.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 571.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 589.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 607.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 625.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [169.0, 643.0, 368.0, 18.0], shoonya_0sK1UIZWT27QT3, 5750312]
[paragraph, [168.0, 663.0, 370.0, 18.0], eIN62OajEV, 5750312]
[paragraph, [168.0, 681.0, 370.0, 18.0], eIN62OajEV, 5750312]
[website-link, [230.0, 749.0, 146.0, 18.0], g54xQg8WFI, 5750312]
