[2339, 1656]
[paragraph, [804.0, 91.0, 713.0, 36.0], shoonya_10s7Y9T76ZJ7ZT, 5749979]
[paragraph, [804.0, 127.0, 713.0, 36.0], shoonya_10s7Y9T76ZJ7ZT, 5749979]
[paragraph, [804.0, 163.0, 713.0, 36.0], shoonya_10s7Y9T76ZJ7ZT, 5749979]
[paragraph, [804.0, 199.0, 713.0, 36.0], shoonya_10s7Y9T76ZJ7ZT, 5749979]
[paragraph, [804.0, 235.0, 713.0, 36.0], shoonya_10s7Y9T76ZJ7ZT, 5749979]
[paragraph, [804.0, 271.0, 713.0, 36.0], shoonya_10s7Y9T76ZJ7ZT, 5749979]
[paragraph, [804.0, 307.0, 713.0, 36.0], shoonya_10s7Y9T76ZJ7ZT, 5749979]
[paragraph, [70.0, 106.0, 706.0, 36.0], shoonya_2sX0AZYL9JF580, 5749979]
[paragraph, [70.0, 142.0, 706.0, 36.0], shoonya_2sX0AZYL9JF580, 5749979]
[paragraph, [70.0, 178.0, 706.0, 36.0], shoonya_2sX0AZYL9JF580, 5749979]
[paragraph, [70.0, 214.0, 706.0, 36.0], shoonya_2sX0AZYL9JF580, 5749979]
[paragraph, [70.0, 250.0, 706.0, 36.0], shoonya_2sX0AZYL9JF580, 5749979]
[paragraph, [70.0, 286.0, 706.0, 36.0], shoonya_2sX0AZYL9JF580, 5749979]
[paragraph, [70.0, 322.0, 706.0, 36.0], shoonya_2sX0AZYL9JF580, 5749979]
[paragraph, [70.0, 358.0, 706.0, 36.0], shoonya_2sX0AZYL9JF580, 5749979]
[paragraph, [70.0, 394.0, 706.0, 36.0], shoonya_2sX0AZYL9JF580, 5749979]
[paragraph, [70.0, 430.0, 706.0, 36.0], shoonya_2sX0AZYL9JF580, 5749979]
[paragraph, [70.0, 466.0, 706.0, 36.0], shoonya_2sX0AZYL9JF580, 5749979]
[paragraph, [898.0, 369.0, 525.0, 36.0], nz-nC8CnOv, 5749979]
[paragraph, [898.0, 405.0, 525.0, 36.0], nz-nC8CnOv, 5749979]
[paragraph, [898.0, 441.0, 525.0, 36.0], nz-nC8CnOv, 5749979]
[paragraph, [898.0, 477.0, 525.0, 36.0], nz-nC8CnOv, 5749979]
[paragraph, [898.0, 513.0, 525.0, 36.0], nz-nC8CnOv, 5749979]
[paragraph, [79.0, 539.0, 704.0, 36.0], shoonya_1s9MROHAA8PK2D, 5749979]
[paragraph, [79.0, 575.0, 704.0, 36.0], shoonya_1s9MROHAA8PK2D, 5749979]
[paragraph, [79.0, 611.0, 704.0, 36.0], shoonya_1s9MROHAA8PK2D, 5749979]
[paragraph, [79.0, 647.0, 704.0, 36.0], shoonya_1s9MROHAA8PK2D, 5749979]
[paragraph, [79.0, 683.0, 704.0, 36.0], shoonya_1s9MROHAA8PK2D, 5749979]
[paragraph, [79.0, 719.0, 704.0, 36.0], shoonya_1s9MROHAA8PK2D, 5749979]
[paragraph, [79.0, 755.0, 704.0, 36.0], shoonya_1s9MROHAA8PK2D, 5749979]
[paragraph, [79.0, 791.0, 704.0, 36.0], shoonya_1s9MROHAA8PK2D, 5749979]
[paragraph, [79.0, 827.0, 704.0, 36.0], shoonya_1s9MROHAA8PK2D, 5749979]
[paragraph, [79.0, 863.0, 704.0, 36.0], shoonya_1s9MROHAA8PK2D, 5749979]
[paragraph, [828.0, 579.0, 675.0, 36.0], shoonya_0sXAKECOZG2ZS8, 5749979]
[paragraph, [828.0, 615.0, 675.0, 36.0], shoonya_0sXAKECOZG2ZS8, 5749979]
[paragraph, [828.0, 651.0, 675.0, 36.0], shoonya_0sXAKECOZG2ZS8, 5749979]
[paragraph, [828.0, 687.0, 675.0, 36.0], shoonya_0sXAKECOZG2ZS8, 5749979]
[paragraph, [828.0, 723.0, 675.0, 36.0], shoonya_0sXAKECOZG2ZS8, 5749979]
[paragraph, [828.0, 759.0, 675.0, 36.0], shoonya_0sXAKECOZG2ZS8, 5749979]
[paragraph, [828.0, 795.0, 675.0, 36.0], shoonya_0sXAKECOZG2ZS8, 5749979]
[paragraph, [828.0, 831.0, 675.0, 36.0], shoonya_0sXAKECOZG2ZS8, 5749979]
[paragraph, [828.0, 867.0, 675.0, 36.0], shoonya_0sXAKECOZG2ZS8, 5749979]
[paragraph, [828.0, 903.0, 675.0, 36.0], shoonya_0sXAKECOZG2ZS8, 5749979]
[paragraph, [828.0, 939.0, 675.0, 36.0], shoonya_0sXAKECOZG2ZS8, 5749979]
[paragraph, [828.0, 975.0, 675.0, 36.0], shoonya_0sXAKECOZG2ZS8, 5749979]
[paragraph, [828.0, 1011.0, 675.0, 36.0], shoonya_0sXAKECOZG2ZS8, 5749979]
[paragraph, [79.0, 897.0, 711.0, 36.0], shoonya_5sOMEW1GKZ4REG, 5749979]
[paragraph, [79.0, 933.0, 711.0, 36.0], shoonya_5sOMEW1GKZ4REG, 5749979]
[paragraph, [79.0, 969.0, 711.0, 36.0], shoonya_5sOMEW1GKZ4REG, 5749979]
[paragraph, [79.0, 1005.0, 711.0, 36.0], shoonya_5sOMEW1GKZ4REG, 5749979]
[paragraph, [79.0, 1041.0, 711.0, 36.0], shoonya_5sOMEW1GKZ4REG, 5749979]
[paragraph, [79.0, 1077.0, 711.0, 36.0], shoonya_5sOMEW1GKZ4REG, 5749979]
[paragraph, [79.0, 1113.0, 711.0, 36.0], shoonya_5sOMEW1GKZ4REG, 5749979]
[paragraph, [79.0, 1149.0, 711.0, 36.0], shoonya_5sOMEW1GKZ4REG, 5749979]
