[3508, 2481]
[contact-info, [714.0, 97.0, 1071.0, 52.5], shoonya_5sT5YJA1A00WH9, 6491026]
[contact-info, [714.0, 149.5, 1071.0, 52.5], shoonya_5sT5YJA1A00WH9, 6491026]
[contact-info, [221.0, 265.0, 794.0, 52.5], shoonya_4sCUWN0FGESQID, 6491026]
[contact-info, [221.0, 317.5, 794.0, 52.5], shoonya_4sCUWN0FGESQID, 6491026]
[contact-info, [221.0, 370.0, 794.0, 52.5], shoonya_4sCUWN0FGESQID, 6491026]
[headline, [1079.0, 495.0, 303.0, 52.5], n9Ed3imAwE, 6491026]
[headline, [1079.0, 547.5, 303.0, 52.5], n9Ed3imAwE, 6491026]
[paragraph, [220.0, 706.0, 1218.0, 52.5], pWcP5u2-Pr, 6491026]
[paragraph, [220.0, 758.5, 1218.0, 52.5], pWcP5u2-Pr, 6491026]
[dateline, [222.0, 975.0, 437.0, 52.5], shoonya_1s63CIHMB8X8NO, 6491026]
[paragraph, [217.0, 1244.0, 468.0, 52.5], shoonya_2sBNJ10HEA7O9D, 6491026]
[paragraph, [221.0, 1362.0, 2056.0, 52.5], shoonya_3sPX166ZXWJ5EG, 6491026]
[paragraph, [221.0, 1414.5, 2056.0, 52.5], shoonya_3sPX166ZXWJ5EG, 6491026]
[paragraph, [221.0, 1467.0, 2056.0, 52.5], shoonya_3sPX166ZXWJ5EG, 6491026]
[paragraph, [221.0, 1519.5, 2056.0, 52.5], shoonya_3sPX166ZXWJ5EG, 6491026]
[paragraph, [221.0, 1572.0, 2056.0, 52.5], shoonya_3sPX166ZXWJ5EG, 6491026]
[paragraph, [221.0, 1624.5, 2056.0, 52.5], shoonya_3sPX166ZXWJ5EG, 6491026]
[sidebar, [229.0, 1970.0, 2062.0, 52.5], ScV10HM3ls, 6491026]
[sidebar, [229.0, 2022.5, 2062.0, 52.5], ScV10HM3ls, 6491026]
[sidebar, [229.0, 2075.0, 2062.0, 52.5], ScV10HM3ls, 6491026]
[sidebar, [229.0, 2127.5, 2062.0, 52.5], ScV10HM3ls, 6491026]
[contact-info, [220.0, 2268.0, 468.0, 52.5], W2NTCwMDir, 6491026]
[contact-info, [220.0, 2320.5, 468.0, 52.5], W2NTCwMDir, 6491026]
[footnote, [233.0, 2418.0, 315.0, 52.5], shoonya_0sHE6R5YNPGFJX, 6491026]
[footnote, [233.0, 2470.5, 315.0, 52.5], shoonya_0sHE6R5YNPGFJX, 6491026]
[footnote, [233.0, 2523.0, 315.0, 52.5], shoonya_0sHE6R5YNPGFJX, 6491026]
