[872, 605]
[section-title, [235.0, 68.0, 136.0, 30.0], k7GAnGoKn-, 6456856]
[paragraph, [87.0, 117.0, 434.0, 18.0], eOiYrjN-9B, 6456856]
[index, [27.0, 152.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 170.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 188.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 206.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 224.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 242.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 260.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 278.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 296.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 314.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 332.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 350.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 368.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 386.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 404.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 422.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 440.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 458.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 476.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 494.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 512.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 530.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 548.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
[index, [27.0, 566.0, 274.0, 18.0], shoonya_0sNS8OWTOJ5Q1Q, 6456856]
