[2009, 1402]
[chapter-title, [360.0, 99.0, 708.0, 70.5], 5__7eo8Y9W, 5654457]
[chapter-title, [360.0, 169.5, 708.0, 70.5], 5__7eo8Y9W, 5654457]
[chapter-title, [360.0, 240.0, 708.0, 70.5], 5__7eo8Y9W, 5654457]
[author, [485.0, 363.0, 413.0, 36.0], shoonya_17sJ34YY2V49OQ, 5654457]
[paragraph, [691.0, 437.0, 619.0, 36.0], shoonya_8sK0SJ1Y0M098L, 5654457]
[paragraph, [691.0, 473.0, 619.0, 36.0], shoonya_8sK0SJ1Y0M098L, 5654457]
[paragraph, [691.0, 509.0, 619.0, 36.0], shoonya_8sK0SJ1Y0M098L, 5654457]
[paragraph, [60.0, 438.0, 612.0, 36.0], shoonya_7s8Y7815P8ZLCU, 5654457]
[paragraph, [60.0, 474.0, 612.0, 36.0], shoonya_7s8Y7815P8ZLCU, 5654457]
[paragraph, [60.0, 510.0, 612.0, 36.0], shoonya_7s8Y7815P8ZLCU, 5654457]
[paragraph, [50.0, 560.0, 359.0, 36.0], shoonya_1sDFHY2S5UVNVE, 5654457]
[paragraph, [50.0, 596.0, 359.0, 36.0], shoonya_1sDFHY2S5UVNVE, 5654457]
[paragraph, [50.0, 632.0, 359.0, 36.0], shoonya_1sDFHY2S5UVNVE, 5654457]
[paragraph, [50.0, 668.0, 359.0, 36.0], shoonya_1sDFHY2S5UVNVE, 5654457]
[paragraph, [50.0, 704.0, 359.0, 36.0], shoonya_1sDFHY2S5UVNVE, 5654457]
[paragraph, [50.0, 740.0, 359.0, 36.0], shoonya_1sDFHY2S5UVNVE, 5654457]
[paragraph, [50.0, 776.0, 359.0, 36.0], shoonya_1sDFHY2S5UVNVE, 5654457]
[paragraph, [50.0, 812.0, 359.0, 36.0], shoonya_1sDFHY2S5UVNVE, 5654457]
[paragraph, [956.0, 562.0, 358.0, 36.0], shoonya_6sY0LEQ274MPKF, 5654457]
[paragraph, [956.0, 598.0, 358.0, 36.0], shoonya_6sY0LEQ274MPKF, 5654457]
