[911, 559]
[chapter-title, [210.0, 112.0, 149.0, 30.0], shoonya_0sRPDORXPQK2K7, 5776207]
[paragraph, [21.0, 162.0, 517.0, 18.0], 422uQlRQyo, 5776207]
[paragraph, [21.0, 180.0, 517.0, 18.0], 422uQlRQyo, 5776207]
[paragraph, [19.0, 213.0, 515.0, 18.0], Ae_nkxTMUp, 5776207]
[paragraph, [19.0, 231.0, 515.0, 18.0], Ae_nkxTMUp, 5776207]
[paragraph, [19.0, 249.0, 515.0, 18.0], Ae_nkxTMUp, 5776207]
[paragraph, [19.0, 267.0, 515.0, 18.0], Ae_nkxTMUp, 5776207]
[paragraph, [19.0, 285.0, 515.0, 18.0], Ae_nkxTMUp, 5776207]
[paragraph, [19.0, 303.0, 515.0, 18.0], Ae_nkxTMUp, 5776207]
[paragraph, [19.0, 321.0, 515.0, 18.0], Ae_nkxTMUp, 5776207]
[paragraph, [20.0, 338.0, 516.0, 18.0], ahbB0f7tWr, 5776207]
[paragraph, [20.0, 356.0, 516.0, 18.0], ahbB0f7tWr, 5776207]
[paragraph, [21.0, 377.0, 189.0, 18.0], sjI6fWltsd, 5776207]
[paragraph, [21.0, 394.0, 520.0, 18.0], 60XGfohzi9, 5776207]
[paragraph, [21.0, 412.0, 520.0, 18.0], 60XGfohzi9, 5776207]
[paragraph, [21.0, 430.0, 520.0, 18.0], 60XGfohzi9, 5776207]
[paragraph, [21.0, 448.0, 520.0, 18.0], 60XGfohzi9, 5776207]
[paragraph, [21.0, 466.0, 520.0, 18.0], 60XGfohzi9, 5776207]
[paragraph, [21.0, 484.0, 520.0, 18.0], 60XGfohzi9, 5776207]
[paragraph, [21.0, 502.0, 520.0, 18.0], 60XGfohzi9, 5776207]
[paragraph, [21.0, 520.0, 520.0, 18.0], 60XGfohzi9, 5776207]
[paragraph, [21.0, 538.0, 520.0, 18.0], 60XGfohzi9, 5776207]
[paragraph, [21.0, 556.0, 520.0, 18.0], 60XGfohzi9, 5776207]
[paragraph, [24.0, 584.0, 516.0, 18.0], qBqoQVQ3ek, 5776207]
[paragraph, [24.0, 602.0, 516.0, 18.0], qBqoQVQ3ek, 5776207]
[paragraph, [22.0, 621.0, 521.0, 18.0], -JBYAzXTF2, 5776207]
[paragraph, [22.0, 639.0, 521.0, 18.0], -JBYAzXTF2, 5776207]
[paragraph, [22.0, 657.0, 521.0, 18.0], -JBYAzXTF2, 5776207]
[paragraph, [27.0, 681.0, 517.0, 18.0], xXHse2TBtC, 5776207]
[paragraph, [27.0, 699.0, 517.0, 18.0], xXHse2TBtC, 5776207]
[paragraph, [27.0, 717.0, 517.0, 18.0], xXHse2TBtC, 5776207]
[paragraph, [33.0, 736.0, 511.0, 18.0], vdaIHKvXiS, 5776207]
[paragraph, [33.0, 754.0, 511.0, 18.0], vdaIHKvXiS, 5776207]
[paragraph, [49.0, 769.0, 496.0, 18.0], b-uDwGs8EI, 5776207]
[paragraph, [49.0, 787.0, 496.0, 18.0], b-uDwGs8EI, 5776207]
[paragraph, [30.0, 811.0, 517.0, 18.0], JnumFmsXpm, 5776207]
[paragraph, [30.0, 829.0, 517.0, 18.0], JnumFmsXpm, 5776207]
[paragraph, [30.0, 847.0, 517.0, 18.0], JnumFmsXpm, 5776207]
