[3690, 2970]
[ordered-list, [301.0, 350.0, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 402.5, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 455.0, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 507.5, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 560.0, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 612.5, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 665.0, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 717.5, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 770.0, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 822.5, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 875.0, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 927.5, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 980.0, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 1032.5, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 1085.0, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [301.0, 1137.5, 1661.0, 52.5], shoonya_1sAX7IVPTSWS9S, 5697994]
[ordered-list, [305.0, 1304.0, 1672.0, 52.5], cwJa9iEN1H, 5697994]
[ordered-list, [305.0, 1356.5, 1672.0, 52.5], cwJa9iEN1H, 5697994]
[ordered-list, [305.0, 1409.0, 1672.0, 52.5], cwJa9iEN1H, 5697994]
[ordered-list, [305.0, 1461.5, 1672.0, 52.5], cwJa9iEN1H, 5697994]
[ordered-list, [305.0, 1514.0, 1672.0, 52.5], cwJa9iEN1H, 5697994]
[ordered-list, [305.0, 1566.5, 1672.0, 52.5], cwJa9iEN1H, 5697994]
[ordered-list, [305.0, 1619.0, 1672.0, 52.5], cwJa9iEN1H, 5697994]
[ordered-list, [305.0, 1671.5, 1672.0, 52.5], cwJa9iEN1H, 5697994]
[ordered-list, [305.0, 1724.0, 1672.0, 52.5], cwJa9iEN1H, 5697994]
[ordered-list, [305.0, 1776.5, 1672.0, 52.5], cwJa9iEN1H, 5697994]
[ordered-list, [305.0, 1829.0, 1672.0, 52.5], cwJa9iEN1H, 5697994]
[ordered-list, [305.0, 1881.5, 1672.0, 52.5], cwJa9iEN1H, 5697994]
[ordered-list, [305.0, 1934.0, 1672.0, 52.5], cwJa9iEN1H, 5697994]
[ordered-list, [296.0, 2099.0, 2404.0, 52.5], CnkzmF1RSC, 5697994]
[ordered-list, [296.0, 2151.5, 2404.0, 52.5], CnkzmF1RSC, 5697994]
[ordered-list, [296.0, 2204.0, 2404.0, 52.5], CnkzmF1RSC, 5697994]
[ordered-list, [296.0, 2256.5, 2404.0, 52.5], CnkzmF1RSC, 5697994]
[ordered-list, [296.0, 2309.0, 2404.0, 52.5], CnkzmF1RSC, 5697994]
[ordered-list, [296.0, 2361.5, 2404.0, 52.5], CnkzmF1RSC, 5697994]
[ordered-list, [296.0, 2414.0, 2404.0, 52.5], CnkzmF1RSC, 5697994]
[ordered-list, [296.0, 2466.5, 2404.0, 52.5], CnkzmF1RSC, 5697994]
[ordered-list, [296.0, 2519.0, 2404.0, 52.5], CnkzmF1RSC, 5697994]
[ordered-list, [296.0, 2571.5, 2404.0, 52.5], CnkzmF1RSC, 5697994]
[ordered-list, [296.0, 2624.0, 2404.0, 52.5], CnkzmF1RSC, 5697994]
[ordered-list, [296.0, 2676.5, 2404.0, 52.5], CnkzmF1RSC, 5697994]
[ordered-list, [296.0, 2729.0, 2404.0, 52.5], CnkzmF1RSC, 5697994]
[footnote, [256.0, 2891.0, 1972.0, 52.5], 1BfoyGO4n4, 5697994]
