[2339, 1653]
[paragraph, [243.0, 242.0, 1162.0, 36.0], shoonya_2s959NE2I1PFX8, 5686249]
[paragraph, [243.0, 278.0, 1162.0, 36.0], shoonya_2s959NE2I1PFX8, 5686249]
[paragraph, [243.0, 314.0, 1162.0, 36.0], shoonya_2s959NE2I1PFX8, 5686249]
[paragraph, [247.0, 516.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 552.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 588.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 624.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 660.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 696.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 732.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 768.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 804.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 840.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 876.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 912.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 948.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 984.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 1020.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 1056.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 1092.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 1128.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[paragraph, [247.0, 1164.0, 1153.0, 36.0], shoonya_0sGIYYXIN99QNF, 5686249]
[section-title, [252.0, 1287.0, 488.0, 52.5], shoonya_5sTFLQCK1GR127, 5686249]
[paragraph, [247.0, 1354.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1390.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1426.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1462.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1498.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1534.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1570.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1606.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1642.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1678.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1714.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1750.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1786.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1822.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1858.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1894.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1930.0, 1154.0, 36.0], shoonya_1sEMKH6UP9YT7E, 5686249]
[paragraph, [247.0, 1980.0, 1156.0, 36.0], shoonya_4sKYLN135P28CV, 5686249]
[paragraph, [247.0, 2016.0, 1156.0, 36.0], shoonya_4sKYLN135P28CV, 5686249]
[paragraph, [247.0, 2052.0, 1156.0, 36.0], shoonya_4sKYLN135P28CV, 5686249]
