[1468, 909]
[folio, [370.0, 64.0, 162.0, 18.0], 77hBhqXyF2, 5770758]
[folio, [370.0, 82.0, 162.0, 18.0], 77hBhqXyF2, 5770758]
[paragraph, [72.0, 130.0, 377.0, 18.0], shoonya_0sST5NGGSR0E4O, 5770758]
[paragraph, [72.0, 148.0, 377.0, 18.0], shoonya_0sST5NGGSR0E4O, 5770758]
[paragraph, [72.0, 166.0, 377.0, 18.0], shoonya_0sST5NGGSR0E4O, 5770758]
[paragraph, [457.0, 134.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 152.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 170.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 188.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 206.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 224.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 242.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 260.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 278.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 296.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 314.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 332.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 350.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 368.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 386.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 404.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 422.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 440.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 458.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 476.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 494.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
[paragraph, [457.0, 512.0, 377.0, 18.0], Wauk1HRJZQ, 5770758]
