[3509, 2482]
[folio, [894.0, 217.0, 448.0, 52.5], QPwTFHm01h, 5692294]
[paragraph, [212.0, 326.0, 1748.0, 52.5], shoonya_0sXQQWGMHTM9TR, 5692294]
[paragraph, [212.0, 378.5, 1748.0, 52.5], shoonya_0sXQQWGMHTM9TR, 5692294]
[paragraph, [212.0, 431.0, 1748.0, 52.5], shoonya_0sXQQWGMHTM9TR, 5692294]
[paragraph, [220.0, 502.0, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 554.5, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 607.0, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 659.5, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 712.0, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 764.5, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 817.0, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 869.5, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 922.0, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 974.5, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 1027.0, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 1079.5, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 1132.0, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 1184.5, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 1237.0, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [220.0, 1289.5, 1749.0, 52.5], OU6lGs0rsG, 5692294]
[paragraph, [217.0, 1355.0, 1762.0, 52.5], 2-G5FslqrK, 5692294]
[paragraph, [217.0, 1407.5, 1762.0, 52.5], 2-G5FslqrK, 5692294]
[paragraph, [217.0, 1460.0, 1762.0, 52.5], 2-G5FslqrK, 5692294]
[paragraph, [217.0, 1512.5, 1762.0, 52.5], 2-G5FslqrK, 5692294]
[paragraph, [214.0, 1588.0, 1799.0, 52.5], JzNKRFdVyV, 5692294]
[paragraph, [214.0, 1640.5, 1799.0, 52.5], JzNKRFdVyV, 5692294]
[paragraph, [214.0, 1693.0, 1799.0, 52.5], JzNKRFdVyV, 5692294]
[paragraph, [214.0, 1745.5, 1799.0, 52.5], JzNKRFdVyV, 5692294]
[paragraph, [214.0, 1798.0, 1799.0, 52.5], JzNKRFdVyV, 5692294]
[paragraph, [214.0, 1850.5, 1799.0, 52.5], JzNKRFdVyV, 5692294]
[paragraph, [214.0, 1903.0, 1799.0, 52.5], JzNKRFdVyV, 5692294]
[paragraph, [214.0, 1955.5, 1799.0, 52.5], JzNKRFdVyV, 5692294]
[paragraph, [214.0, 2008.0, 1799.0, 52.5], JzNKRFdVyV, 5692294]
[paragraph, [214.0, 2060.5, 1799.0, 52.5], JzNKRFdVyV, 5692294]
[paragraph, [214.0, 2113.0, 1799.0, 52.5], JzNKRFdVyV, 5692294]
[paragraph, [214.0, 2165.5, 1799.0, 52.5], JzNKRFdVyV, 5692294]
[paragraph, [214.0, 2218.0, 1799.0, 52.5], JzNKRFdVyV, 5692294]
[paragraph, [307.0, 2295.0, 781.0, 52.5], iwuti9JksX, 5692294]
[paragraph, [297.0, 2370.0, 1368.0, 52.5], 7DTLaV2t6x, 5692294]
[paragraph, [283.0, 2768.0, 862.0, 52.5], shoonya_1sJ582NSP976FT, 5692294]
[paragraph, [220.0, 2854.0, 1799.0, 52.5], dpUJBsHUVP, 5692294]
[paragraph, [220.0, 2906.5, 1799.0, 52.5], dpUJBsHUVP, 5692294]
[paragraph, [220.0, 2959.0, 1799.0, 52.5], dpUJBsHUVP, 5692294]
[paragraph, [220.0, 3011.5, 1799.0, 52.5], dpUJBsHUVP, 5692294]
[paragraph, [220.0, 3064.0, 1799.0, 52.5], dpUJBsHUVP, 5692294]
[paragraph, [220.0, 3116.5, 1799.0, 52.5], dpUJBsHUVP, 5692294]
[paragraph, [220.0, 3169.0, 1799.0, 52.5], dpUJBsHUVP, 5692294]
[paragraph, [220.0, 3221.5, 1799.0, 52.5], dpUJBsHUVP, 5692294]
[paragraph, [220.0, 3274.0, 1799.0, 52.5], dpUJBsHUVP, 5692294]
