[1238, 769]
[paragraph, [120.0, 70.0, 513.0, 18.0], shoonya_9sGQ6Y4DCKUBZG, 6470037]
[paragraph, [74.0, 106.0, 626.0, 18.0], shoonya_8sKN2SL55URMG7, 6470037]
[paragraph, [74.0, 124.0, 626.0, 18.0], shoonya_8sKN2SL55URMG7, 6470037]
[paragraph, [74.0, 142.0, 626.0, 18.0], shoonya_8sKN2SL55URMG7, 6470037]
[paragraph, [74.0, 171.0, 624.0, 18.0], shoonya_7sPR813EVJRY22, 6470037]
[paragraph, [74.0, 189.0, 624.0, 18.0], shoonya_7sPR813EVJRY22, 6470037]
[paragraph, [74.0, 207.0, 624.0, 18.0], shoonya_7sPR813EVJRY22, 6470037]
[paragraph, [72.0, 232.0, 624.0, 18.0], shoonya_11s666P6745QM9, 6470037]
[paragraph, [72.0, 250.0, 624.0, 18.0], shoonya_11s666P6745QM9, 6470037]
[paragraph, [72.0, 268.0, 624.0, 18.0], shoonya_11s666P6745QM9, 6470037]
[paragraph, [73.0, 297.0, 627.0, 18.0], shoonya_6sCYK5BF412SO6, 6470037]
[paragraph, [73.0, 315.0, 627.0, 18.0], shoonya_6sCYK5BF412SO6, 6470037]
[paragraph, [73.0, 333.0, 627.0, 18.0], shoonya_6sCYK5BF412SO6, 6470037]
[paragraph, [73.0, 351.0, 627.0, 18.0], shoonya_6sCYK5BF412SO6, 6470037]
[paragraph, [73.0, 392.0, 626.0, 18.0], shoonya_3s4N36AMQ7R3DV, 6470037]
[paragraph, [73.0, 410.0, 626.0, 18.0], shoonya_3s4N36AMQ7R3DV, 6470037]
[paragraph, [73.0, 428.0, 626.0, 18.0], shoonya_3s4N36AMQ7R3DV, 6470037]
[paragraph, [71.0, 456.0, 626.0, 18.0], shoonya_4sAXTLBEV94DZZ, 6470037]
[paragraph, [71.0, 474.0, 626.0, 18.0], shoonya_4sAXTLBEV94DZZ, 6470037]
[paragraph, [71.0, 492.0, 626.0, 18.0], shoonya_4sAXTLBEV94DZZ, 6470037]
[paragraph, [71.0, 510.0, 626.0, 18.0], shoonya_4sAXTLBEV94DZZ, 6470037]
[paragraph, [71.0, 528.0, 626.0, 18.0], shoonya_4sAXTLBEV94DZZ, 6470037]
[paragraph, [71.0, 546.0, 626.0, 18.0], shoonya_4sAXTLBEV94DZZ, 6470037]
[paragraph, [71.0, 564.0, 626.0, 18.0], shoonya_4sAXTLBEV94DZZ, 6470037]
[paragraph, [71.0, 582.0, 626.0, 18.0], shoonya_4sAXTLBEV94DZZ, 6470037]
[paragraph, [71.0, 600.0, 626.0, 18.0], shoonya_4sAXTLBEV94DZZ, 6470037]
[paragraph, [72.0, 638.0, 625.0, 18.0], shoonya_2sLVK4673DLTSB, 6470037]
[paragraph, [72.0, 656.0, 625.0, 18.0], shoonya_2sLVK4673DLTSB, 6470037]
[paragraph, [72.0, 674.0, 625.0, 18.0], shoonya_2sLVK4673DLTSB, 6470037]
[paragraph, [72.0, 692.0, 625.0, 18.0], shoonya_2sLVK4673DLTSB, 6470037]
[paragraph, [72.0, 731.0, 625.0, 18.0], shoonya_1s6BO7OIWQ54BT, 6470037]
[paragraph, [72.0, 749.0, 625.0, 18.0], shoonya_1s6BO7OIWQ54BT, 6470037]
[paragraph, [72.0, 767.0, 625.0, 18.0], shoonya_1s6BO7OIWQ54BT, 6470037]
[paragraph, [72.0, 785.0, 625.0, 18.0], shoonya_1s6BO7OIWQ54BT, 6470037]
[paragraph, [72.0, 803.0, 625.0, 18.0], shoonya_1s6BO7OIWQ54BT, 6470037]
[paragraph, [72.0, 821.0, 625.0, 18.0], shoonya_1s6BO7OIWQ54BT, 6470037]
[paragraph, [72.0, 839.0, 625.0, 18.0], shoonya_1s6BO7OIWQ54BT, 6470037]
[paragraph, [72.0, 857.0, 625.0, 18.0], shoonya_1s6BO7OIWQ54BT, 6470037]
[paragraph, [72.0, 875.0, 625.0, 18.0], shoonya_1s6BO7OIWQ54BT, 6470037]
[paragraph, [72.0, 893.0, 625.0, 18.0], shoonya_1s6BO7OIWQ54BT, 6470037]
[paragraph, [72.0, 911.0, 625.0, 18.0], shoonya_1s6BO7OIWQ54BT, 6470037]
[paragraph, [69.0, 943.0, 623.0, 18.0], shoonya_0sUTX71EZ3U046, 6470037]
[paragraph, [69.0, 961.0, 623.0, 18.0], shoonya_0sUTX71EZ3U046, 6470037]
[paragraph, [69.0, 979.0, 623.0, 18.0], shoonya_0sUTX71EZ3U046, 6470037]
[paragraph, [71.0, 1007.0, 620.0, 18.0], shoonya_5sKMT6OKFCEJUC, 6470037]
[paragraph, [71.0, 1025.0, 620.0, 18.0], shoonya_5sKMT6OKFCEJUC, 6470037]
[paragraph, [71.0, 1043.0, 620.0, 18.0], shoonya_5sKMT6OKFCEJUC, 6470037]
[paragraph, [71.0, 1061.0, 620.0, 18.0], shoonya_5sKMT6OKFCEJUC, 6470037]
[folio, [105.0, 1103.0, 196.0, 18.0], r1S3V3RuQk, 6470037]
