[3509, 2480]
[paragraph, [347.0, 392.0, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [347.0, 444.5, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [347.0, 497.0, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [347.0, 549.5, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [347.0, 602.0, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [347.0, 654.5, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [347.0, 707.0, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [347.0, 759.5, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [347.0, 812.0, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [347.0, 864.5, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [347.0, 917.0, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [347.0, 969.5, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [347.0, 1022.0, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [347.0, 1074.5, 1771.0, 52.5], shoonya_2sYJZJEW4ISGG9, 5724579]
[paragraph, [350.0, 1187.0, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1239.5, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1292.0, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1344.5, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1397.0, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1449.5, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1502.0, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1554.5, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1607.0, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1659.5, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1712.0, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1764.5, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1817.0, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1869.5, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1922.0, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 1974.5, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 2027.0, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 2079.5, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 2132.0, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 2184.5, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 2237.0, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [350.0, 2289.5, 1767.0, 52.5], 4HPtmNJjss, 5724579]
[paragraph, [360.0, 2443.0, 1761.0, 52.5], shoonya_0s4SETVRMDULHY, 5724579]
[paragraph, [360.0, 2495.5, 1761.0, 52.5], shoonya_0s4SETVRMDULHY, 5724579]
[paragraph, [360.0, 2548.0, 1761.0, 52.5], shoonya_0s4SETVRMDULHY, 5724579]
[paragraph, [360.0, 2600.5, 1761.0, 52.5], shoonya_0s4SETVRMDULHY, 5724579]
[paragraph, [360.0, 2653.0, 1761.0, 52.5], shoonya_0s4SETVRMDULHY, 5724579]
[paragraph, [360.0, 2705.5, 1761.0, 52.5], shoonya_0s4SETVRMDULHY, 5724579]
[paragraph, [360.0, 2758.0, 1761.0, 52.5], shoonya_0s4SETVRMDULHY, 5724579]
[paragraph, [360.0, 2810.5, 1761.0, 52.5], shoonya_0s4SETVRMDULHY, 5724579]
[paragraph, [360.0, 2863.0, 1761.0, 52.5], shoonya_0s4SETVRMDULHY, 5724579]
[paragraph, [360.0, 2915.5, 1761.0, 52.5], shoonya_0s4SETVRMDULHY, 5724579]
[paragraph, [360.0, 2968.0, 1761.0, 52.5], shoonya_0s4SETVRMDULHY, 5724579]
[paragraph, [360.0, 3020.5, 1761.0, 52.5], shoonya_0s4SETVRMDULHY, 5724579]
