[1775, 1139]
[paragraph, [124.0, 139.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 175.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 211.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 247.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 283.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 319.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 355.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 391.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 427.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 463.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 499.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 535.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 571.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 607.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 643.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 679.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 715.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 751.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 787.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 823.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 859.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 895.0, 967.0, 36.0], shoonya_0sO0VXAAP9BOEQ, 5654475]
[paragraph, [124.0, 940.0, 972.0, 36.0], shoonya_1sQA3ZKVJEEEQT, 5654475]
[paragraph, [124.0, 976.0, 972.0, 36.0], shoonya_1sQA3ZKVJEEEQT, 5654475]
[paragraph, [124.0, 1012.0, 972.0, 36.0], shoonya_1sQA3ZKVJEEEQT, 5654475]
[paragraph, [124.0, 1048.0, 972.0, 36.0], shoonya_1sQA3ZKVJEEEQT, 5654475]
[paragraph, [124.0, 1084.0, 972.0, 36.0], shoonya_1sQA3ZKVJEEEQT, 5654475]
[paragraph, [365.0, 1133.0, 502.0, 36.0], shoonya_5sQLKPCRFOZPE6, 5654475]
[paragraph, [365.0, 1169.0, 502.0, 36.0], shoonya_5sQLKPCRFOZPE6, 5654475]
[paragraph, [365.0, 1205.0, 502.0, 36.0], shoonya_5sQLKPCRFOZPE6, 5654475]
[paragraph, [137.0, 1279.0, 960.0, 36.0], shoonya_2sTAVOWOYF4FOF, 5654475]
[paragraph, [137.0, 1315.0, 960.0, 36.0], shoonya_2sTAVOWOYF4FOF, 5654475]
[paragraph, [137.0, 1351.0, 960.0, 36.0], shoonya_2sTAVOWOYF4FOF, 5654475]
[paragraph, [137.0, 1387.0, 960.0, 36.0], shoonya_2sTAVOWOYF4FOF, 5654475]
[paragraph, [137.0, 1423.0, 960.0, 36.0], shoonya_2sTAVOWOYF4FOF, 5654475]
[paragraph, [137.0, 1459.0, 960.0, 36.0], shoonya_2sTAVOWOYF4FOF, 5654475]
[paragraph, [147.0, 1513.0, 951.0, 36.0], shoonya_3sQX8XPYNQSVFF, 5654475]
[paragraph, [147.0, 1549.0, 951.0, 36.0], shoonya_3sQX8XPYNQSVFF, 5654475]
[paragraph, [147.0, 1585.0, 951.0, 36.0], shoonya_3sQX8XPYNQSVFF, 5654475]
[folio, [776.0, 1656.0, 100.0, 36.0], Uo3ZM6wOEj, 5654475]
