[3300, 2550]
[paragraph, [270.0, 271.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 323.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 376.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 428.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 481.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 533.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 586.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 638.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 691.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 743.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 796.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 848.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 901.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 953.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1006.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1058.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1111.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1163.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1216.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1268.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1321.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1373.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1426.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1478.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1531.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1583.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1636.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1688.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1741.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1793.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1846.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1898.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 1951.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2003.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2056.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2108.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2161.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2213.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2266.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2318.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2371.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2423.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2476.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2528.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2581.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2633.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2686.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2738.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2791.0, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
[paragraph, [270.0, 2843.5, 2024.0, 52.5], shoonya_2sZJ1M2NW6QFI5, 5720112]
