[842, 596]
[section-title, [120.0, 140.0, 98.0, 30.0], shoonya_7sMWXU2VVW2E4N, 5656631]
[paragraph, [63.0, 194.0, 491.0, 18.0], shoonya_0s6UFCE1XMUFLL, 5656631]
[paragraph, [63.0, 212.0, 491.0, 18.0], shoonya_0s6UFCE1XMUFLL, 5656631]
[paragraph, [63.0, 230.0, 491.0, 18.0], shoonya_0s6UFCE1XMUFLL, 5656631]
[paragraph, [63.0, 248.0, 491.0, 18.0], shoonya_0s6UFCE1XMUFLL, 5656631]
[paragraph, [63.0, 266.0, 491.0, 18.0], shoonya_0s6UFCE1XMUFLL, 5656631]
[paragraph, [63.0, 284.0, 491.0, 18.0], shoonya_0s6UFCE1XMUFLL, 5656631]
[paragraph, [63.0, 302.0, 491.0, 18.0], shoonya_0s6UFCE1XMUFLL, 5656631]
[paragraph, [63.0, 320.0, 491.0, 18.0], shoonya_0s6UFCE1XMUFLL, 5656631]
[paragraph, [63.0, 338.0, 491.0, 18.0], shoonya_0s6UFCE1XMUFLL, 5656631]
[paragraph, [63.0, 356.0, 491.0, 18.0], shoonya_0s6UFCE1XMUFLL, 5656631]
[paragraph, [67.0, 382.0, 484.0, 18.0], shoonya_1sCDUFCX5BMYQU, 5656631]
[paragraph, [67.0, 400.0, 484.0, 18.0], shoonya_1sCDUFCX5BMYQU, 5656631]
[paragraph, [67.0, 418.0, 484.0, 18.0], shoonya_1sCDUFCX5BMYQU, 5656631]
[paragraph, [67.0, 436.0, 484.0, 18.0], shoonya_1sCDUFCX5BMYQU, 5656631]
[section-title, [281.0, 518.0, 247.0, 30.0], shoonya_3sFYZ1RO3RXVA1, 5656631]
[paragraph, [104.0, 580.0, 421.0, 18.0], shoonya_2sV3A9HYPZJHPC, 5656631]
[paragraph, [104.0, 598.0, 421.0, 18.0], shoonya_2sV3A9HYPZJHPC, 5656631]
[paragraph, [103.0, 627.0, 420.0, 18.0], shoonya_6s18DCNPEEP9WM, 5656631]
[paragraph, [103.0, 645.0, 420.0, 18.0], shoonya_6s18DCNPEEP9WM, 5656631]
[paragraph, [105.0, 674.0, 317.0, 18.0], shoonya_5sXILHQVBVXXQY, 5656631]
[paragraph, [103.0, 703.0, 420.0, 18.0], shoonya_8sAM27SCHXPSPB, 5656631]
[paragraph, [103.0, 721.0, 420.0, 18.0], shoonya_8sAM27SCHXPSPB, 5656631]
