[1650, 1275]
[paragraph, [186.0, 146.0, 902.0, 36.0], shoonya_0s48I4NMH5XY5J, 5703925]
[paragraph, [186.0, 182.0, 902.0, 36.0], shoonya_0s48I4NMH5XY5J, 5703925]
[paragraph, [186.0, 218.0, 902.0, 36.0], shoonya_0s48I4NMH5XY5J, 5703925]
[paragraph, [186.0, 254.0, 902.0, 36.0], shoonya_0s48I4NMH5XY5J, 5703925]
[paragraph, [186.0, 290.0, 902.0, 36.0], shoonya_0s48I4NMH5XY5J, 5703925]
[paragraph, [186.0, 326.0, 902.0, 36.0], shoonya_0s48I4NMH5XY5J, 5703925]
[paragraph, [186.0, 362.0, 902.0, 36.0], shoonya_0s48I4NMH5XY5J, 5703925]
[paragraph, [186.0, 398.0, 902.0, 36.0], shoonya_0s48I4NMH5XY5J, 5703925]
[paragraph, [190.0, 467.0, 896.0, 36.0], shoonya_2sYOXDTNK2WW37, 5703925]
[paragraph, [190.0, 503.0, 896.0, 36.0], shoonya_2sYOXDTNK2WW37, 5703925]
[paragraph, [190.0, 539.0, 896.0, 36.0], shoonya_2sYOXDTNK2WW37, 5703925]
[paragraph, [186.0, 616.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 652.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 688.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 724.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 760.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 796.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 832.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 868.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 904.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 940.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 976.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 1012.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 1048.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 1084.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 1120.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 1156.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 1192.0, 904.0, 36.0], shoonya_1sMPT2K5RV7J4S, 5703925]
[paragraph, [186.0, 1295.0, 901.0, 36.0], shoonya_3sO72TYWITXNL6, 5703925]
[paragraph, [186.0, 1331.0, 901.0, 36.0], shoonya_3sO72TYWITXNL6, 5703925]
[paragraph, [186.0, 1367.0, 901.0, 36.0], shoonya_3sO72TYWITXNL6, 5703925]
[paragraph, [186.0, 1403.0, 901.0, 36.0], shoonya_3sO72TYWITXNL6, 5703925]
[paragraph, [186.0, 1439.0, 901.0, 36.0], shoonya_3sO72TYWITXNL6, 5703925]
