[1823, 1375]
[folio, [567.0, 109.0, 237.0, 36.0], shoonya_7sB42MHWP76WTV, 5683518]
[paragraph, [103.0, 186.0, 578.0, 36.0], shoonya_5sF5SD824ELIZS, 5683518]
[paragraph, [103.0, 222.0, 578.0, 36.0], shoonya_5sF5SD824ELIZS, 5683518]
[paragraph, [103.0, 258.0, 578.0, 36.0], shoonya_5sF5SD824ELIZS, 5683518]
[paragraph, [103.0, 294.0, 578.0, 36.0], shoonya_5sF5SD824ELIZS, 5683518]
[paragraph, [692.0, 188.0, 574.0, 36.0], shoonya_9sM7XP1YXEYZQD, 5683518]
[paragraph, [692.0, 224.0, 574.0, 36.0], shoonya_9sM7XP1YXEYZQD, 5683518]
[paragraph, [692.0, 260.0, 574.0, 36.0], shoonya_9sM7XP1YXEYZQD, 5683518]
[paragraph, [692.0, 296.0, 574.0, 36.0], shoonya_9sM7XP1YXEYZQD, 5683518]
[paragraph, [692.0, 332.0, 574.0, 36.0], shoonya_9sM7XP1YXEYZQD, 5683518]
[section-title, [546.0, 407.0, 273.0, 49.5], shoonya_3sWXAUEEFXZUKJ, 5683518]
[paragraph, [114.0, 495.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 531.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 567.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 603.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 639.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 675.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 711.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 747.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 783.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 819.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 855.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 891.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 927.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 963.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 999.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 1035.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 1071.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 1107.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 1143.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 1179.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
[paragraph, [114.0, 1215.0, 565.0, 36.0], shoonya_1s4XZ8RLBLYEN4, 5683518]
