[792, 612]
[folio, [59.0, 55.0, 31.0, 18.0], EPMNWLY9Ak, 6516853]
[headline, [219.0, 72.0, 173.0, 25.5], shoonya_17sRNNML3O7TII, 6516853]
[author, [277.0, 116.0, 58.0, 18.0], ojI27k2Lxe, 6516853]
[paragraph, [61.0, 176.0, 159.0, 18.0], ZJnXe9l6d9, 6516853]
[paragraph, [61.0, 194.0, 159.0, 18.0], ZJnXe9l6d9, 6516853]
[paragraph, [61.0, 212.0, 159.0, 18.0], ZJnXe9l6d9, 6516853]
[paragraph, [61.0, 230.0, 159.0, 18.0], ZJnXe9l6d9, 6516853]
[paragraph, [61.0, 248.0, 159.0, 18.0], ZJnXe9l6d9, 6516853]
[paragraph, [226.0, 180.0, 74.0, 18.0], mEqnNEJ_5r, 6516853]
[paragraph, [226.0, 198.0, 74.0, 18.0], mEqnNEJ_5r, 6516853]
[paragraph, [226.0, 216.0, 74.0, 18.0], mEqnNEJ_5r, 6516853]
[paragraph, [226.0, 234.0, 74.0, 18.0], mEqnNEJ_5r, 6516853]
[paragraph, [225.0, 265.0, 76.0, 18.0], YhQdL-o8-Q, 6516853]
[paragraph, [225.0, 283.0, 76.0, 18.0], YhQdL-o8-Q, 6516853]
[paragraph, [225.0, 301.0, 76.0, 18.0], YhQdL-o8-Q, 6516853]
[paragraph, [225.0, 319.0, 76.0, 18.0], YhQdL-o8-Q, 6516853]
[paragraph, [225.0, 337.0, 76.0, 18.0], YhQdL-o8-Q, 6516853]
[paragraph, [225.0, 355.0, 76.0, 18.0], YhQdL-o8-Q, 6516853]
[paragraph, [61.0, 279.0, 158.0, 18.0], 9RTJpqB8BM, 6516853]
[paragraph, [61.0, 297.0, 158.0, 18.0], 9RTJpqB8BM, 6516853]
[paragraph, [61.0, 315.0, 158.0, 18.0], 9RTJpqB8BM, 6516853]
[paragraph, [61.0, 333.0, 158.0, 18.0], 9RTJpqB8BM, 6516853]
[paragraph, [61.0, 364.0, 159.0, 18.0], 31RF4-QkSW, 6516853]
[paragraph, [61.0, 382.0, 159.0, 18.0], 31RF4-QkSW, 6516853]
[paragraph, [61.0, 400.0, 159.0, 18.0], 31RF4-QkSW, 6516853]
[paragraph, [61.0, 418.0, 159.0, 18.0], 31RF4-QkSW, 6516853]
[paragraph, [61.0, 436.0, 159.0, 18.0], 31RF4-QkSW, 6516853]
[paragraph, [61.0, 454.0, 159.0, 18.0], 31RF4-QkSW, 6516853]
[paragraph, [225.0, 380.0, 76.0, 18.0], bMr7Jr-3wW, 6516853]
[paragraph, [225.0, 398.0, 76.0, 18.0], bMr7Jr-3wW, 6516853]
[paragraph, [225.0, 416.0, 76.0, 18.0], bMr7Jr-3wW, 6516853]
[paragraph, [225.0, 434.0, 76.0, 18.0], bMr7Jr-3wW, 6516853]
[paragraph, [225.0, 452.0, 76.0, 18.0], bMr7Jr-3wW, 6516853]
[paragraph, [225.0, 470.0, 76.0, 18.0], bMr7Jr-3wW, 6516853]
[paragraph, [225.0, 488.0, 76.0, 18.0], bMr7Jr-3wW, 6516853]
[paragraph, [61.0, 477.0, 159.0, 18.0], jUWCD1Rmo5, 6516853]
[paragraph, [61.0, 495.0, 159.0, 18.0], jUWCD1Rmo5, 6516853]
[paragraph, [61.0, 513.0, 159.0, 18.0], jUWCD1Rmo5, 6516853]
[paragraph, [61.0, 531.0, 159.0, 18.0], jUWCD1Rmo5, 6516853]
[paragraph, [61.0, 549.0, 159.0, 18.0], jUWCD1Rmo5, 6516853]
[paragraph, [61.0, 567.0, 159.0, 18.0], jUWCD1Rmo5, 6516853]
[paragraph, [61.0, 585.0, 159.0, 18.0], jUWCD1Rmo5, 6516853]
[paragraph, [61.0, 603.0, 159.0, 18.0], jUWCD1Rmo5, 6516853]
[paragraph, [61.0, 621.0, 159.0, 18.0], jUWCD1Rmo5, 6516853]
[paragraph, [61.0, 639.0, 159.0, 18.0], jUWCD1Rmo5, 6516853]
[paragraph, [391.0, 519.0, 158.0, 18.0], AKuTeOxub5, 6516853]
[paragraph, [391.0, 537.0, 158.0, 18.0], AKuTeOxub5, 6516853]
[paragraph, [391.0, 555.0, 158.0, 18.0], AKuTeOxub5, 6516853]
[paragraph, [391.0, 573.0, 158.0, 18.0], AKuTeOxub5, 6516853]
[paragraph, [391.0, 591.0, 158.0, 18.0], AKuTeOxub5, 6516853]
[paragraph, [391.0, 609.0, 158.0, 18.0], AKuTeOxub5, 6516853]
[paragraph, [391.0, 627.0, 158.0, 18.0], AKuTeOxub5, 6516853]
[paragraph, [225.0, 520.0, 160.0, 18.0], EN4AE33XhK, 6516853]
[paragraph, [225.0, 538.0, 160.0, 18.0], EN4AE33XhK, 6516853]
[paragraph, [225.0, 556.0, 160.0, 18.0], EN4AE33XhK, 6516853]
[paragraph, [224.0, 589.0, 159.0, 18.0], 7oOoZRceCt, 6516853]
[paragraph, [224.0, 607.0, 159.0, 18.0], 7oOoZRceCt, 6516853]
[paragraph, [224.0, 625.0, 159.0, 18.0], 7oOoZRceCt, 6516853]
[paragraph, [224.0, 643.0, 159.0, 18.0], 7oOoZRceCt, 6516853]
[paragraph, [224.0, 661.0, 159.0, 18.0], 7oOoZRceCt, 6516853]
[paragraph, [224.0, 679.0, 159.0, 18.0], 7oOoZRceCt, 6516853]
[paragraph, [224.0, 697.0, 159.0, 18.0], 7oOoZRceCt, 6516853]
[paragraph, [390.0, 648.0, 159.0, 18.0], bHpijmEIKI, 6516853]
[paragraph, [390.0, 666.0, 159.0, 18.0], bHpijmEIKI, 6516853]
[paragraph, [61.0, 661.0, 160.0, 18.0], jPtYs-ZVCh, 6516853]
[paragraph, [61.0, 679.0, 160.0, 18.0], jPtYs-ZVCh, 6516853]
[paragraph, [61.0, 697.0, 160.0, 18.0], jPtYs-ZVCh, 6516853]
