[668, 446]
[paragraph, [39.0, 88.0, 352.0, 18.0], shoonya_0s1SOCNK2L9ISO, 6493375]
[paragraph, [39.0, 106.0, 352.0, 18.0], shoonya_0s1SOCNK2L9ISO, 6493375]
[paragraph, [39.0, 124.0, 352.0, 18.0], shoonya_0s1SOCNK2L9ISO, 6493375]
[paragraph, [39.0, 142.0, 352.0, 18.0], shoonya_0s1SOCNK2L9ISO, 6493375]
[paragraph, [39.0, 160.0, 352.0, 18.0], shoonya_0s1SOCNK2L9ISO, 6493375]
[paragraph, [39.0, 178.0, 352.0, 18.0], shoonya_0s1SOCNK2L9ISO, 6493375]
[paragraph, [39.0, 196.0, 352.0, 18.0], shoonya_0s1SOCNK2L9ISO, 6493375]
[paragraph, [42.0, 220.0, 354.0, 18.0], jLv6B5YPp2, 6493375]
[paragraph, [42.0, 238.0, 354.0, 18.0], jLv6B5YPp2, 6493375]
[paragraph, [42.0, 256.0, 354.0, 18.0], jLv6B5YPp2, 6493375]
[paragraph, [42.0, 274.0, 354.0, 18.0], jLv6B5YPp2, 6493375]
[paragraph, [42.0, 292.0, 354.0, 18.0], jLv6B5YPp2, 6493375]
[paragraph, [42.0, 310.0, 354.0, 18.0], jLv6B5YPp2, 6493375]
[paragraph, [42.0, 328.0, 354.0, 18.0], jLv6B5YPp2, 6493375]
[paragraph, [42.0, 346.0, 354.0, 18.0], jLv6B5YPp2, 6493375]
[paragraph, [42.0, 364.0, 354.0, 18.0], jLv6B5YPp2, 6493375]
[paragraph, [42.0, 382.0, 354.0, 18.0], jLv6B5YPp2, 6493375]
[paragraph, [42.0, 400.0, 354.0, 18.0], jLv6B5YPp2, 6493375]
[paragraph, [42.0, 418.0, 354.0, 18.0], jLv6B5YPp2, 6493375]
[paragraph, [48.0, 444.0, 351.0, 18.0], i_8J_9__D5, 6493375]
[paragraph, [48.0, 462.0, 351.0, 18.0], i_8J_9__D5, 6493375]
[paragraph, [48.0, 480.0, 351.0, 18.0], i_8J_9__D5, 6493375]
[paragraph, [48.0, 498.0, 351.0, 18.0], i_8J_9__D5, 6493375]
[paragraph, [48.0, 516.0, 351.0, 18.0], i_8J_9__D5, 6493375]
[paragraph, [48.0, 534.0, 351.0, 18.0], i_8J_9__D5, 6493375]
[paragraph, [48.0, 552.0, 351.0, 18.0], i_8J_9__D5, 6493375]
[paragraph, [48.0, 570.0, 351.0, 18.0], i_8J_9__D5, 6493375]
[paragraph, [92.0, 597.0, 305.0, 18.0], LnHeRqDVgJ, 6493375]
