[1286, 946]
[paragraph, [98.0, 99.0, 627.0, 18.0], shoonya_2s3SLSTI8X2GRH, 5776145]
[paragraph, [98.0, 117.0, 627.0, 18.0], shoonya_2s3SLSTI8X2GRH, 5776145]
[paragraph, [98.0, 135.0, 627.0, 18.0], shoonya_2s3SLSTI8X2GRH, 5776145]
[paragraph, [98.0, 153.0, 627.0, 18.0], shoonya_2s3SLSTI8X2GRH, 5776145]
[paragraph, [98.0, 171.0, 627.0, 18.0], shoonya_2s3SLSTI8X2GRH, 5776145]
[paragraph, [99.0, 199.0, 626.0, 18.0], shoonya_5sL65QNI2GY2R8, 5776145]
[paragraph, [99.0, 217.0, 626.0, 18.0], shoonya_5sL65QNI2GY2R8, 5776145]
[paragraph, [99.0, 235.0, 626.0, 18.0], shoonya_5sL65QNI2GY2R8, 5776145]
[paragraph, [99.0, 253.0, 626.0, 18.0], shoonya_5sL65QNI2GY2R8, 5776145]
[paragraph, [99.0, 271.0, 626.0, 18.0], shoonya_5sL65QNI2GY2R8, 5776145]
[paragraph, [99.0, 289.0, 626.0, 18.0], shoonya_5sL65QNI2GY2R8, 5776145]
[paragraph, [99.0, 307.0, 626.0, 18.0], shoonya_5sL65QNI2GY2R8, 5776145]
[paragraph, [99.0, 325.0, 626.0, 18.0], shoonya_5sL65QNI2GY2R8, 5776145]
[paragraph, [101.0, 349.0, 626.0, 18.0], shoonya_7sUGQMYBN07440, 5776145]
[paragraph, [101.0, 367.0, 626.0, 18.0], shoonya_7sUGQMYBN07440, 5776145]
[paragraph, [102.0, 400.0, 625.0, 18.0], shoonya_1s4WII2SNCVV08, 5776145]
[paragraph, [102.0, 418.0, 625.0, 18.0], shoonya_1s4WII2SNCVV08, 5776145]
[paragraph, [102.0, 436.0, 625.0, 18.0], shoonya_1s4WII2SNCVV08, 5776145]
[paragraph, [102.0, 454.0, 625.0, 18.0], shoonya_1s4WII2SNCVV08, 5776145]
[paragraph, [102.0, 472.0, 625.0, 18.0], shoonya_1s4WII2SNCVV08, 5776145]
[paragraph, [102.0, 490.0, 625.0, 18.0], shoonya_1s4WII2SNCVV08, 5776145]
[paragraph, [102.0, 525.0, 627.0, 18.0], shoonya_0sRKB1IKA1LQAN, 5776145]
[paragraph, [102.0, 543.0, 627.0, 18.0], shoonya_0sRKB1IKA1LQAN, 5776145]
[paragraph, [102.0, 561.0, 627.0, 18.0], shoonya_0sRKB1IKA1LQAN, 5776145]
[paragraph, [102.0, 579.0, 627.0, 18.0], shoonya_0sRKB1IKA1LQAN, 5776145]
[paragraph, [102.0, 597.0, 627.0, 18.0], shoonya_0sRKB1IKA1LQAN, 5776145]
[paragraph, [102.0, 615.0, 627.0, 18.0], shoonya_0sRKB1IKA1LQAN, 5776145]
[paragraph, [102.0, 633.0, 627.0, 18.0], shoonya_0sRKB1IKA1LQAN, 5776145]
[section-title, [312.0, 676.0, 212.0, 30.0], shoonya_9sNV0P5J5QTIGC, 5776145]
[paragraph, [105.0, 749.0, 626.0, 18.0], shoonya_4sMGSSSX7JNEJ7, 5776145]
[paragraph, [105.0, 767.0, 626.0, 18.0], shoonya_4sMGSSSX7JNEJ7, 5776145]
[paragraph, [105.0, 785.0, 626.0, 18.0], shoonya_4sMGSSSX7JNEJ7, 5776145]
[paragraph, [105.0, 803.0, 626.0, 18.0], shoonya_4sMGSSSX7JNEJ7, 5776145]
[paragraph, [105.0, 821.0, 626.0, 18.0], shoonya_4sMGSSSX7JNEJ7, 5776145]
[paragraph, [105.0, 839.0, 626.0, 18.0], shoonya_4sMGSSSX7JNEJ7, 5776145]
[paragraph, [105.0, 857.0, 626.0, 18.0], shoonya_4sMGSSSX7JNEJ7, 5776145]
[paragraph, [104.0, 876.0, 627.0, 18.0], shoonya_6s15MSFAESV6NC, 5776145]
[paragraph, [104.0, 894.0, 627.0, 18.0], shoonya_6s15MSFAESV6NC, 5776145]
[paragraph, [104.0, 912.0, 627.0, 18.0], shoonya_6s15MSFAESV6NC, 5776145]
[paragraph, [104.0, 930.0, 627.0, 18.0], shoonya_6s15MSFAESV6NC, 5776145]
[paragraph, [105.0, 952.0, 629.0, 18.0], shoonya_3sIHMXZH9J4PJV, 5776145]
[paragraph, [105.0, 970.0, 629.0, 18.0], shoonya_3sIHMXZH9J4PJV, 5776145]
[paragraph, [105.0, 988.0, 629.0, 18.0], shoonya_3sIHMXZH9J4PJV, 5776145]
[paragraph, [105.0, 1006.0, 629.0, 18.0], shoonya_3sIHMXZH9J4PJV, 5776145]
[paragraph, [105.0, 1024.0, 629.0, 18.0], shoonya_3sIHMXZH9J4PJV, 5776145]
[paragraph, [105.0, 1042.0, 629.0, 18.0], shoonya_3sIHMXZH9J4PJV, 5776145]
[paragraph, [105.0, 1060.0, 629.0, 18.0], shoonya_3sIHMXZH9J4PJV, 5776145]
[paragraph, [105.0, 1078.0, 629.0, 18.0], shoonya_3sIHMXZH9J4PJV, 5776145]
